equipamento,data_penultima_efetiva,data_ultima_efetiva,dias_em_operacao_efetivo,datas_historicas_completas,intervalos_dias_consecutivos,media_intervalos_dias,n_preventivas_total,n_preventivas_passadas,ultima_preventiva_passada,proxima_preventiva_agendada,dias_desde_ultima_preventiva,intervalo_medio_passado,intervalo_ultimo_passado,desvio_padrao_intervalo_passado,tendencia_intervalo_passado,data_ref,data_prescrita,dias_restantes,urgencia,t_base_dias,fator_desgaste,fator_massa,dias_ociosidade,t_prescrito_dias,data_ultima_sub,formulas
IJ-135,02/03/2024,07/07/2025,492.0,10/09/2022 | 20/03/2024 | 06/07/2025 | 28/12/2026 | 20/06/2028,557 | 473 | 540 | 540,527.5,5.0,3.0,06/07/2025,28/12/2026,295.0,515.0,473.0,42.0,-84.00000000000009,27/04/2026,05/05/2027,373.0,OK,492.0,1.0,1.3,27.0,639.6,07/07/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-136,18/05/2024,01/11/2025,532.0,10/09/2022 | 19/05/2024 | 29/11/2025 | 26/04/2027 | 16/10/2028,617 | 559 | 513 | 539,557.0,5.0,3.0,29/11/2025,26/04/2027,149.0,588.0,559.0,29.0,-58.00000000000005,27/04/2026,21/10/2027,542.0,OK,532.0,1.0,1.3,27.0,691.6,01/11/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-137,17/03/2024,06/09/2025,538.0,10/12/2022 | 25/03/2024 | 06/09/2025 | 01/03/2027 | 21/08/2028,471 | 530 | 541 | 539,520.25,5.0,3.0,06/09/2025,01/03/2027,233.0,500.5,530.0,29.5,58.999999999999865,27/04/2026,03/09/2027,494.0,OK,538.0,1.0,1.3,28.0,699.4,06/09/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-138,16/03/2024,06/09/2025,539.0,10/12/2022 | 01/04/2024 | 06/09/2025 | 01/03/2027 | 21/08/2028,478 | 523 | 541 | 539,520.25,5.0,3.0,06/09/2025,01/03/2027,233.0,500.5,523.0,22.5,44.99999999999991,27/04/2026,04/09/2027,495.0,OK,539.0,1.0,1.3,27.0,700.7,06/09/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-139,03/03/2024,08/02/2025,342.0,10/02/2022 | 03/03/2024 | 08/02/2025 | 22/08/2026 | 13/02/2028,752 | 342 | 560 | 540,548.5,5.0,3.0,08/02/2025,22/08/2026,443.0,547.0,342.0,205.0,-410.00000000000006,27/04/2026,18/12/2025,-130.0,ATRASADO,342.0,1.0,0.8352,27.0,285.6,08/02/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-151,09/03/2024,29/09/2025,569.0,26/09/2018 | 21/11/2019 | 01/01/2021 | 07/03/2023 | 27/03/2024 | 29/09/2025 | 22/02/2027 | 14/08/2028,421 | 407 | 795 | 386 | 551 | 511 | 539,515.7142857142857,8.0,6.0,29/09/2025,22/02/2027,210.0,512.0,551.0,152.83455106748605,-121.99999999999991,27/04/2026,05/11/2027,557.0,OK,569.0,1.0,1.3,27.0,739.7,29/09/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-152,09/03/2024,17/08/2025,526.0,10/10/2018 | 18/10/2019 | 17/03/2021 | 07/03/2023 | 20/03/2024 | 30/08/2025 | 08/02/2027 | 31/07/2028,373 | 516 | 720 | 379 | 528 | 527 | 539,511.7142857142857,8.0,6.0,30/08/2025,08/02/2027,240.0,503.2,528.0,126.61658659117295,-95.99999999999996,27/04/2026,27/09/2027,518.0,OK,526.0,1.0,1.3,87.0,683.8,17/08/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-155,,,,10/06/2022 | 22/03/2024 | 31/03/2025 | 31/08/2026 | 21/02/2028,651 | 374 | 518 | 539,520.5,5.0,3.0,31/03/2025,31/08/2026,392.0,512.5,374.0,138.5,-277.0,,,,,,,,,,,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-155 (Inferior),16/03/2024,08/03/2025,357.0,,,,,,,,,,,,,27/04/2026,28/02/2026,-58.0,ATRASADO,357.0,1.0,1.0,,357.0,08/03/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-155 (Superior),16/03/2024,08/03/2025,357.0,,,,,,,,,,,,,27/04/2026,28/02/2026,-58.0,ATRASADO,357.0,1.0,1.0,,357.0,08/03/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-156,19/05/2024,11/10/2025,510.0,10/10/2022 | 13/03/2024 | 31/10/2025 | 05/04/2027 | 25/09/2028,520 | 597 | 521 | 539,544.25,5.0,3.0,31/10/2025,05/04/2027,178.0,558.5,597.0,38.5,76.99999999999991,27/04/2026,30/10/2026,186.0,OK,510.0,1.0,0.7,27.0,357.0,11/10/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
IJ-164,17/03/2024,27/04/2025,406.0,10/12/2022 | 05/03/2024 | 27/04/2025 | 19/10/2026 | 11/04/2028,451 | 418 | 540 | 540,487.25,5.0,3.0,27/04/2025,19/10/2026,365.0,434.5,418.0,16.5,-33.00000000000004,27/04/2026,23/06/2026,57.0,ATENÇÃO,406.0,1.0,0.9729,27.0,395.0,27/04/2025,"n_preventivas_passadas = count(datas < hoje); dias_desde_ultima_preventiva = (hoje - max(datas_passadas)).days; intervalo_medio_passado = mean(diff(datas_passadas)); intervalo_ultimo_passado = diff(datas_passadas)[-1]; desvio_padrao_intervalo = std(diff(datas_passadas), ddof=0); tendencia_intervalo = polyfit(x, ultimas_3_lacunas, 1)[0]; data_prescrita_ML = data_ultima_efetiva + t_prescrito_dias; t_prescrito_dias = t_base_dias * fator_desgaste * fator_massa - dias_ociosidade"
