equipamento,janela,inicio,fim,dias_calendario,qtd_produzida,qtd_refugada,qtd_retrabalhada,massa_kg,compostos,dias_producao_distintos
IJ-129,J2_entre_trocas,25/02/2024,03/05/2025,433,270748.0,8266.0,0.0,3844.4698,F424/40 MARROM;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/201;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-110/2;N-142/44;N-142/67;N144/83;N146/9;N148/18;P248/40;P250/14,315
IJ-129,J3_pos_ultima_troca,03/05/2025,01/04/2026,333,233971.0,5461.0,0.0,3503.9604999999997,F424/40 MARROM;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/44;N-142/67;N146/9;N148/18;P-210/1;P248/40;P250/14,291
IJ-130,J1_inicio_ate_penultima,08/05/2025,18/05/2024,-355,0.0,0.0,0.0,0.0,,0
IJ-130,J2_entre_trocas,18/05/2024,04/10/2025,504,1740.0,18.0,0.0,38.541999999999994,MASSA F403/32;N148/18,4
IJ-130,J3_pos_ultima_troca,04/10/2025,21/03/2026,168,19082.0,258.0,0.0,451.66392,EP 4053/1;F424/40 MARROM;FP75614/49,51
IJ-131,J1_inicio_ate_penultima,27/05/2024,25/02/2024,-92,0.0,0.0,0.0,0.0,,0
IJ-131,J2_entre_trocas,25/02/2024,15/02/2025,356,291501.0,3918.0,0.0,3550.28901,F424/85;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N146/9;N148/18;P250/14,231
IJ-131,J3_pos_ultima_troca,15/02/2025,01/04/2026,410,577440.0,3826.0,0.0,6796.251990000001,F424/40 MARROM;F444/1;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA F420/96;N-142/67;N146/9;N148/18;P250/14;RC-21/65,357
IJ-132,J1_inicio_ate_penultima,27/05/2024,18/02/2024,-99,0.0,0.0,0.0,0.0,,0
IJ-132,J2_entre_trocas,18/02/2024,12/04/2025,419,2433408.0,18951.0,0.0,4745.1456,N144/85,263
IJ-132,J3_pos_ultima_troca,12/04/2025,01/04/2026,354,1669398.0,10161.0,0.0,3255.3261,N144/85,208
IJ-133,J1_inicio_ate_penultima,27/05/2024,02/03/2024,-86,0.0,0.0,0.0,0.0,,0
IJ-133,J2_entre_trocas,02/03/2024,05/07/2025,490,701531.0,1383.0,0.0,1626.6848,F424/50;MASSA F420/95;N144/83,364
IJ-133,J3_pos_ultima_troca,05/07/2025,01/04/2026,270,397846.0,1623.0,22.0,1161.16244,F424/50;MASSA F420/95;N144/83,204
IJ-134,J1_inicio_ate_penultima,27/05/2024,02/03/2024,-86,0.0,0.0,0.0,0.0,,0
IJ-134,J2_entre_trocas,02/03/2024,07/08/2025,523,332110.0,7182.0,0.0,4576.19369,F424/40 MARROM;F424/50;F444/1;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/201;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N-158/3;N146/9;N148/18;P-210/1;P248/40;P250/14,397
IJ-134,J3_pos_ultima_troca,07/08/2025,01/04/2026,237,179256.4,1649.6,0.0,2679.0250499999997,F424/40 MARROM;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-126/2;N-142/44;N-142/67;N-158/3;N146/9;N148/18;P248/40;P250/14,206
IJ-135,J1_inicio_ate_penultima,27/05/2024,02/03/2024,-86,0.0,0.0,0.0,0.0,,0
IJ-135,J2_entre_trocas,02/03/2024,07/07/2025,492,160752.0,5820.0,0.0,4864.457780000001,N-142/44;N148/18;P250/14,367
IJ-135,J3_pos_ultima_troca,07/07/2025,01/04/2026,268,61804.0,2282.0,0.0,2142.03787,N-142/44;N148/18;P250/14,203
IJ-136,J1_inicio_ate_penultima,27/05/2024,18/05/2024,-9,0.0,0.0,0.0,0.0,,0
IJ-136,J2_entre_trocas,18/05/2024,01/11/2025,532,213260.0,3674.0,0.0,2099.92486,EP 4053/1;FP75614/49,404
IJ-136,J3_pos_ultima_troca,01/11/2025,01/04/2026,151,58280.0,1398.0,0.0,449.1091,FP75614/49,112
IJ-137,J1_inicio_ate_penultima,27/05/2024,17/03/2024,-71,0.0,0.0,0.0,0.0,,0
IJ-137,J2_entre_trocas,17/03/2024,06/09/2025,538,1492521.0,28581.0,0.0,5243.2239500000005,MASSA F420/191;MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,423
IJ-137,J3_pos_ultima_troca,06/09/2025,31/03/2026,206,547689.0,12828.0,0.0,1870.31547,MASSA S315/1 DIAM CORDÃO 8MM SEM R 0345;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,171
IJ-138,J1_inicio_ate_penultima,27/05/2024,16/03/2024,-72,0.0,0.0,0.0,0.0,,0
IJ-138,J2_entre_trocas,16/03/2024,06/09/2025,539,207537.0,7604.0,0.0,4310.687290000001,N-142/44;N148/18;P250/14,433
IJ-138,J3_pos_ultima_troca,06/09/2025,01/04/2026,207,51635.0,1637.0,0.0,1059.2656,F424/40 MARROM;N-142/44;N148/18;P250/14,151
IJ-139,J1_inicio_ate_penultima,27/05/2024,03/03/2024,-85,0.0,0.0,0.0,0.0,,0
IJ-139,J2_entre_trocas,03/03/2024,08/02/2025,342,358568.0,1967.0,0.0,1497.07235,F424/50;MASSA F420/191;MASSA F420/95;N-142/44;N190/30,236
IJ-139,J3_pos_ultima_troca,08/02/2025,01/04/2026,417,448670.0,2807.0,0.0,1792.5733,F424/50;MASSA F420/191;MASSA F420/95;N-142/44;N148/18;N190/30;P250/14,343
IJ-151,J1_inicio_ate_penultima,27/05/2024,09/03/2024,-79,0.0,0.0,0.0,0.0,,0
IJ-151,J2_entre_trocas,09/03/2024,29/09/2025,569,393082.0,8405.0,-3.0,4238.7783,F424/40 MARROM;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N146/9;N148/18;P248/40;P250/14,453
IJ-151,J3_pos_ultima_troca,29/09/2025,01/04/2026,184,151473.0,748.0,0.0,1931.1704399999999,F424/40 MARROM;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N144/83;N146/9;N148/18;P-210/1;P248/40;P250/14,151
IJ-152,J1_inicio_ate_penultima,27/05/2024,09/03/2024,-79,0.0,0.0,0.0,0.0,,0
IJ-152,J2_entre_trocas,09/03/2024,17/08/2025,526,827507.0,13764.0,13.0,5117.196260000001,F424/40 MARROM;F424/50;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/67;N148/18;P248/40;P250/14,407
IJ-152,J3_pos_ultima_troca,17/08/2025,31/01/2026,167,331622.0,2050.0,0.0,1854.2921000000001,F424/40 MARROM;MASSA F403/32;MASSA F420/134;MASSA F420/191;MASSA F420/95;N-142/67;N148/18;P250/14,140
IJ-156,J1_inicio_ate_penultima,27/05/2024,19/05/2024,-8,0.0,0.0,0.0,0.0,,0
IJ-156,J2_entre_trocas,19/05/2024,11/10/2025,510,77043.0,1519.0,0.0,506.41125,FP75614/49;MASSA F403/32;MASSA F420/134;MASSA F420/95;N-142/67;N-158/3;N144/83;N146/9;N148/18,172
IJ-156,J3_pos_ultima_troca,11/10/2025,01/04/2026,172,503033.0,374.0,0.0,5415.712189999999,F424/40 MARROM;FP75614/49;MASSA F403/32;MASSA F420/191;MASSA F420/95;MASSA S315/10 MACARRÃO EXTR  8+/- 1mm;N-142/44;N-142/67;N146/9;N148/18;P-210/1;P250/14,119
IJ-164,J1_inicio_ate_penultima,27/05/2024,17/03/2024,-71,0.0,0.0,0.0,0.0,,0
IJ-164,J2_entre_trocas,17/03/2024,27/04/2025,406,187619.0,7422.0,6.0,5882.82776,F424/64;MASSA F420/134;MASSA F420/201;MASSA F420/306;MASSA F420/95;N-142/44;N144/83;N148/18,318
IJ-164,J3_pos_ultima_troca,27/04/2025,01/04/2026,339,179594.0,5701.0,10.0,6046.810890000001,F424/40 MARROM;F424/64;MASSA F420/134;MASSA F420/191;MASSA F420/201;MASSA F420/306;N-142/44;N-158/3;N-158/30;N144/83,289
