Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2023-02-19,2669243,IJ-119,SA05968,75,0,0,1,PC,F424/40,2.697
2023-02-19,2669243,IJ-119,SA05968,44,0,0,1,PC,F424/40,2.697
2023-02-20,2669243,IJ-119,SA05968,150,2,0,1,PC,F424/40,2.697
2023-02-20,2669243,IJ-119,SA05968,354,4,0,1,PC,F424/40,2.697
2023-02-20,2669449,IJ-119,SA05547,308,2,0,1,PC,F403/32,0.517
2023-02-20,2669449,IJ-119,SA05547,122,24,0,1,PC,F403/32,0.517
2023-02-21,2669449,IJ-119,SA05547,262,17,0,1,PC,F403/32,0.517
2023-02-21,2669449,IJ-119,SA05547,30,0,0,1,PC,F403/32,0.517
2023-02-21,2669449,IJ-119,SA05547,333,38,0,1,PC,F403/32,0.517
2023-02-22,2669449,IJ-119,SA05547,234,15,0,1,PC,F403/32,0.517
2023-02-22,2669449,IJ-119,SA05547,288,33,0,1,PC,F403/32,0.517
2023-02-22,2669449,IJ-119,SA05547,251,18,0,1,PC,F403/32,0.517
2023-02-23,2669449,IJ-119,SA05547,274,2,0,1,PC,F403/32,0.517
2023-02-23,2669449,IJ-119,SA05547,257,24,0,1,PC,F403/32,0.517
2023-02-23,2669449,IJ-119,SA05547,9,20,0,1,PC,F403/32,0.517
2023-02-24,2669449,IJ-119,SA05547,11,0,0,1,PC,F403/32,0.517
2023-02-24,2669449,IJ-119,SA05547,240,12,0,1,PC,F403/32,0.517
2023-02-24,2669449,IJ-119,SA05547,477,13,0,1,PC,F403/32,0.517
2023-02-24,2669449,IJ-119,SA05547,450,10,0,1,PC,F403/32,0.517
2023-02-26,2669449,IJ-119,SA05547,245,9,0,1,PC,F403/32,0.517
2023-02-26,2669449,IJ-119,SA05547,30,0,0,1,PC,F403/32,0.517
2023-02-27,2668360,IJ-119,SA05253,159,8,0,1,PC, F420/191,0.805
2023-02-27,2669449,IJ-119,SA05547,91,0,0,1,PC,F403/32,0.517
2023-02-27,2669449,IJ-119,SA05547,453,8,0,1,PC,F403/32,0.517
