Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2023-02-12,2668923,IJ-118,SA05945,310,0,0,1,PC,S315/10,0.46
2023-02-13,2668886,IJ-118,SA02115,253,13,0,1,PC,S315/10,2.23
2023-02-13,2668886,IJ-118,SA02115,255,24,0,1,PC,S315/10,2.23
2023-02-13,2668923,IJ-118,SA05945,153,6,0,1,PC,S315/10,0.46
2023-02-13,2669052,IJ-118,SA05997,291,9,0,1,PC,S316/2,0.447
2023-02-13,2669052,IJ-118,SA05997,109,8,0,1,PC,S316/2,0.447
2023-02-14,2669052,IJ-118,SA05997,302,7,0,1,PC,S316/2,0.447
2023-02-14,2669052,IJ-118,SA05997,224,13,0,1,PC,S316/2,0.447
2023-02-14,2669052,IJ-118,SA05997,503,13,0,1,PC,S316/2,0.447
2023-02-15,2669052,IJ-118,SA05997,263,35,0,1,PC,S316/2,0.447
2023-02-15,2669052,IJ-118,SA05997,536,0,0,1,PC,S316/2,0.447
2023-02-15,2669052,IJ-118,SA05997,555,0,0,1,PC,S316/2,0.447
2023-02-16,2669052,IJ-118,SA05997,5,0,0,1,PC,S316/2,0.447
2023-02-16,2669052,IJ-118,SA05997,58,0,0,1,PC,S316/2,0.447
2023-02-16,2669255,IJ-118,SA01969,166,14,0,1,PC,S315/10,1.1
2023-02-16,2669255,IJ-118,SA01969,388,10,0,1,PC,S315/10,1.1
2023-02-20,2668020,IJ-118,SA01917,137,3,0,1,PC,S315/10,2.35
2023-02-20,2668020,IJ-118,SA01917,457,19,0,1,PC,S315/10,2.35
2023-02-20,2668020,IJ-118,SA01917,326,4,0,1,PC,S315/10,2.35
2023-02-20,2669255,IJ-118,SA01969,2,0,0,1,PC,S315/10,1.1
2023-02-21,2669560,IJ-118,SA05061,358,14,0,1,PC,S315/10,1.05
2023-02-21,2669560,IJ-118,SA05061,7,0,0,1,PC,S315/10,1.05
2023-02-21,2669560,IJ-118,SA05061,13,0,0,1,PC,S315/10,1.05
2023-02-22,2669560,IJ-118,SA05061,308,8,0,1,PC,S315/10,1.05
2023-02-24,2669744,IJ-118,SA05659,322,9,0,1,PC,S315/10,0.81
2023-02-24,2669744,IJ-118,SA05659,549,0,0,1,PC,S315/10,0.81
2023-02-24,2669744,IJ-118,SA05659,109,11,0,1,PC,S315/10,0.81
2023-02-26,2669185,IJ-118,SA05079,112,7,0,1,PC,S315/10,1.52
2023-02-26,2669744,IJ-118,SA05659,108,11,0,1,PC,S315/10,0.81
2023-02-26,2669744,IJ-118,SA05659,8,7,0,1,PC,S315/10,0.81
2023-02-27,2669185,IJ-118,SA05079,255,3,0,1,PC,S315/10,1.52
2023-02-27,2669185,IJ-118,SA05079,412,18,0,1,PC,S315/10,1.52
2023-02-27,2669185,IJ-118,SA05079,572,3,0,1,PC,S315/10,1.52
2023-02-28,2669185,IJ-118,SA05079,370,1,0,1,PC,S315/10,1.52
2023-02-28,2669185,IJ-118,SA05079,453,0,0,1,PC,S315/10,1.52
2023-02-28,2669185,IJ-118,SA05079,585,0,0,1,PC,S315/10,1.52
2023-03-01,2669185,IJ-118,SA05079,82,0,0,1,PC,S315/10,1.52
2023-03-01,2669185,IJ-118,SA05079,547,4,0,1,PC,S315/10,1.52
2023-03-01,2670085,IJ-118,SA65999,358,1,0,1,PC,S315/10,2.23
2023-03-02,2670085,IJ-118,SA65999,376,1,0,1,PC,S315/10,2.23
2023-03-02,2670085,IJ-118,SA65999,512,9,0,1,PC,S315/10,2.23
2023-03-02,2670085,IJ-118,SA65999,494,7,0,1,PC,S315/10,2.23
2023-03-03,2670085,IJ-118,SA65999,77,0,0,1,PC,S315/10,2.23
2023-03-03,2670085,IJ-118,SA65999,578,5,0,1,PC,S315/10,2.23
2023-03-03,2670085,IJ-118,SA65999,568,1,0,1,PC,S315/10,2.23
2023-03-03,2670136,IJ-118,SA05933,126,2,0,1,PC,S315/10,0.56
2023-03-03,2670152,IJ-118,SA00803,17,0,0,1,PC,S315/10,3.98
2023-03-03,2670152,IJ-118,SA00803,11,0,0,1,PC,S315/10,3.98
2023-03-05,2670136,IJ-118,SA05933,275,18,0,1,PC,S315/10,0.56
2023-03-06,2670136,IJ-118,SA05933,373,2,0,1,PC,S315/10,0.56
2023-03-06,2670136,IJ-118,SA05933,599,3,0,1,PC,S315/10,0.56
2023-03-06,2670136,IJ-118,SA05933,491,10,0,1,PC,S315/10,0.56
2023-03-07,2670127,IJ-118,SA01917,342,0,0,1,PC,S315/10,2.35
2023-03-07,2670127,IJ-118,SA01917,537,0,0,1,PC,S315/10,2.35
2023-03-07,2670127,IJ-118,SA01917,446,14,0,1,PC,S315/10,2.35
2023-03-08,2670127,IJ-118,SA01917,405,4,0,1,PC,S315/10,2.35
2023-03-08,2670152,IJ-118,SA00803,228,2,0,1,PC,S315/10,3.98
2023-03-08,2670152,IJ-118,SA00803,102,3,0,1,PC,S315/10,3.98
2023-03-08,2670904,IJ-118,SA02235,343,2,0,1,PC,S315/10,1.6
2023-03-08,2670904,IJ-118,SA02235,89,3,0,1,PC,S315/10,1.6
2023-03-08,2671051,IJ-118,SA05035,14,14,0,1,PC,S315/10,3.97
2023-03-09,2670904,IJ-118,SA02235,47,5,0,1,PC,S315/10,1.6
2023-03-09,2671051,IJ-118,SA05035,225,10,0,1,PC,S315/10,3.97
2023-03-13,2671051,IJ-118,SA05035,201,16,0,1,PC,S315/10,3.97
2023-03-14,2671051,IJ-118,SA05035,355,1,0,1,PC,S315/10,3.97
2023-03-14,2671051,IJ-118,SA05035,440,34,0,1,PC,S315/10,3.97
2023-03-14,2671074,IJ-118,SA05997,382,12,0,1,PC,S316/2,0.447
2023-03-14,2671074,IJ-118,SA05997,12,2,0,1,PC,S316/2,0.447
2023-03-14,2671074,IJ-118,SA05997,125,22,0,1,PC,S316/2,0.447
2023-03-15,2670152,IJ-118,SA00803,235,8,0,1,PC,S315/10,3.98
2023-03-15,2670904,IJ-118,SA02235,205,1,0,1,PC,S315/10,1.6
2023-03-15,2670904,IJ-118,SA02235,14,0,0,1,PC,S315/10,1.6
2023-03-15,2671074,IJ-118,SA05997,132,7,0,1,PC,S316/2,0.447
2023-03-15,2671508,IJ-118,SA05933,336,2,0,1,PC,S315/10,0.56
2023-03-15,2671508,IJ-118,SA05933,23,0,0,1,PC,S315/10,0.56
2023-03-15,2671508,IJ-118,SA05933,148,2,0,1,PC,S315/10,0.56
2023-03-16,2671508,IJ-118,SA05933,317,11,0,1,PC,S315/10,0.56
2023-03-16,2671508,IJ-118,SA05933,566,4,0,1,PC,S315/10,0.56
2023-03-16,2671508,IJ-118,SA05933,500,4,0,1,PC,S315/10,0.56
2023-03-17,2671508,IJ-118,SA05933,449,8,0,1,PC,S315/10,0.56
2023-03-17,2671508,IJ-118,SA05933,179,0,0,1,PC,S315/10,0.56
2023-03-19,2671508,IJ-118,SA05933,265,4,0,1,PC,S315/10,0.56
2023-03-19,2671508,IJ-118,SA05933,28,0,0,1,PC,S315/10,0.56
2023-03-20,2671070,IJ-118,SA07284,155,0,0,1,PC,P212/1,0.571
2023-03-20,2671070,IJ-118,SA07284,107,51,0,1,PC,P212/1,0.571
2023-03-21,2671070,IJ-118,SA07284,1,0,0,1,PC,P212/1,0.571
2023-03-21,2671750,IJ-118,SA07021,232,7,0,1,PC,P212/1,0.67
2023-03-21,2671750,IJ-118,SA07021,392,3,0,1,PC,P212/1,0.67
2023-03-22,2671750,IJ-118,SA07021,168,23,0,1,PC,P212/1,0.67
2023-03-22,2671750,IJ-118,SA07021,38,0,0,1,PC,P212/1,0.67
2023-03-27,2671750,IJ-118,SA07021,1,0,0,1,PC,P212/1,0.67
2023-03-28,2672078,IJ-118,SA02009,355,3,0,1,PC,P212/1,0.265
2023-03-28,2672078,IJ-118,SA02009,482,12,0,1,PC,P212/1,0.265
2023-03-28,2672078,IJ-118,SA02009,17,0,0,1,PC,P212/1,0.265
2023-03-29,2672078,IJ-118,SA02009,341,7,0,1,PC,P212/1,0.265
2023-03-29,2672078,IJ-118,SA02009,602,8,0,1,PC,P212/1,0.265
2023-03-29,2672078,IJ-118,SA02009,605,6,0,1,PC,P212/1,0.265
2023-03-30,2672078,IJ-118,SA02009,388,0,0,1,PC,P212/1,0.265
2023-03-30,2672078,IJ-118,SA02009,610,0,0,1,PC,P212/1,0.265
2023-03-30,2672078,IJ-118,SA02009,595,0,0,1,PC,P212/1,0.265
2023-03-31,2672078,IJ-118,SA02009,337,4,0,1,PC,P212/1,0.265
2023-03-31,2672078,IJ-118,SA02009,525,2,0,1,PC,P212/1,0.265
2023-03-31,2672078,IJ-118,SA02009,438,11,0,1,PC,P212/1,0.265
2023-04-02,2672078,IJ-118,SA02009,227,14,0,1,PC,P212/1,0.265
2023-04-02,2672078,IJ-118,SA02009,36,0,0,1,PC,P212/1,0.265
2023-04-02,2672078,IJ-118,SA02009,49,0,0,1,PC,P212/1,0.265
2023-04-03,2672078,IJ-118,SA02009,238,15,0,1,PC,P212/1,0.265
2023-04-03,2672501,IJ-118,SA07320,23,0,0,1,PC,P212/1,2.7
2023-04-03,2672501,IJ-118,SA07320,6,0,0,1,PC,P212/1,2.7
2023-04-04,2672501,IJ-118,SA07320,44,0,0,1,PC,P212/1,2.7
