Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs)
2023-03-26,2671875,IJ-135,SA05679,179,19,0,1,PC,AC- 70810,1.554
2023-03-27,2670343,IJ-135,SA07050,242,0,0,1,PC,N148/18,0.95
2023-03-27,2670343,IJ-135,SA07050,370,24,0,1,PC,N148/18,0.95
2023-03-27,2670343,IJ-135,SA07050,287,7,0,1,PC,N148/18,0.95
2023-03-27,2671875,IJ-135,SA05679,16,4,0,1,PC,AC- 70810,1.554
2023-03-28,2670341,IJ-135,SA25674,1,0,0,1,PC,P250/14,6.09
2023-03-28,2670343,IJ-135,SA07050,206,2,0,1,PC,N148/18,0.95
2023-03-28,2670343,IJ-135,SA07050,449,1,0,1,PC,N148/18,0.95
2023-03-28,2670343,IJ-135,SA07050,448,6,0,1,PC,N148/18,0.95
2023-03-29,2670341,IJ-135,SA25674,134,6,0,1,PC,P250/14,6.09
2023-03-29,2670341,IJ-135,SA25674,152,34,0,1,PC,P250/14,6.09
2023-03-29,2670341,IJ-135,SA25674,86,50,0,1,PC,P250/14,6.09
2023-03-30,2670341,IJ-135,SA25674,23,4,0,1,PC,P250/14,6.09
2023-03-30,2670343,IJ-135,SA07050,281,1,0,1,PC,N148/18,0.95
2023-03-30,2670343,IJ-135,SA07050,345,6,0,1,PC,N148/18,0.95
2023-03-30,2670343,IJ-135,SA07050,324,4,0,1,PC,N148/18,0.95
2023-03-31,2670343,IJ-135,SA07050,3,0,0,1,PC,N148/18,0.95
2023-03-31,2670343,IJ-135,SA07050,252,0,0,1,PC,N148/18,0.95
2023-03-31,2670343,IJ-135,SA07050,380,3,0,1,PC,N148/18,0.95
2023-03-31,2670343,IJ-135,SA07050,456,6,0,1,PC,N148/18,0.95
2023-04-01,2670343,IJ-135,SA07050,344,5,0,1,PC,N148/18,0.95
2023-04-01,2670343,IJ-135,SA07050,351,2,0,1,PC,N148/18,0.95
2023-04-02,2670343,IJ-135,SA07050,272,0,0,1,PC,N148/18,0.95
2023-04-02,2670343,IJ-135,SA07050,27,0,0,1,PC,N148/18,0.95
2023-04-03,2670343,IJ-135,SA07050,237,3,0,1,PC,N148/18,0.95
2023-04-03,2670343,IJ-135,SA07050,398,8,0,1,PC,N148/18,0.95
2023-04-03,2670343,IJ-135,SA07050,454,0,0,1,PC,N148/18,0.95
2023-04-04,2670343,IJ-135,SA07050,224,0,0,1,PC,N148/18,0.95
2023-04-04,2670343,IJ-135,SA07050,406,3,0,1,PC,N148/18,0.95
2023-04-04,2670343,IJ-135,SA07050,453,4,0,1,PC,N148/18,0.95
2023-04-05,2670343,IJ-135,SA07050,104,0,0,1,PC,N148/18,0.95
2023-04-05,2670343,IJ-135,SA07050,454,2,0,1,PC,N148/18,0.95
2023-04-06,2670343,IJ-135,SA07050,281,1,0,1,PC,N148/18,0.95
2023-04-06,2670343,IJ-135,SA07050,402,8,0,1,PC,N148/18,0.95
2023-04-06,2670343,IJ-135,SA07050,51,0,0,1,PC,N148/18,0.95
2023-04-07,2670343,IJ-135,SA07050,2,0,0,1,PC,N148/18,0.95
2023-04-07,2670343,IJ-135,SA07050,246,3,0,1,PC,N148/18,0.95
2023-04-07,2670343,IJ-135,SA07050,420,18,0,1,PC,N148/18,0.95
2023-04-07,2670343,IJ-135,SA07050,446,0,0,1,PC,N148/18,0.95
2023-04-08,2670343,IJ-135,SA07050,241,4,0,1,PC,N148/18,0.95
2023-04-08,2670343,IJ-135,SA07050,350,1,0,1,PC,N148/18,0.95
2023-04-09,2670343,IJ-135,SA07050,204,11,0,1,PC,N148/18,0.95
2023-04-09,2670343,IJ-135,SA07050,2,0,0,1,PC,N148/18,0.95
2023-04-10,2672867,IJ-135,SA05502,303,2,0,1,PC,P250/14,0.617
2023-04-10,2672867,IJ-135,SA05502,451,4,0,1,PC,P250/14,0.617
2023-04-10,2672867,IJ-135,SA05502,346,16,0,1,PC,P250/14,0.617
2023-04-11,2672867,IJ-135,SA05502,304,3,0,1,PC,P250/14,0.617
2023-04-11,2672867,IJ-135,SA05502,300,2,0,1,PC,P250/14,0.617
2023-04-11,2672867,IJ-135,SA05502,472,10,0,1,PC,P250/14,0.617
2023-04-12,2672867,IJ-135,SA05502,86,0,0,1,PC,P250/14,0.617
2023-04-12,2672867,IJ-135,SA05502,366,4,0,1,PC,P250/14,0.617
2023-04-12,2673380,IJ-135,SA25694,214,6,0,1,PC,P250/14,3.47
2023-04-12,2673380,IJ-135,SA25694,171,11,0,1,PC,P250/14,3.47
2023-04-13,2673380,IJ-135,SA25694,226,0,0,1,PC,P250/14,3.47
2023-04-13,2673380,IJ-135,SA25694,251,10,0,1,PC,P250/14,3.47
2023-04-13,2673380,IJ-135,SA25694,336,13,0,1,PC,P250/14,3.47
2023-04-14,2673306,IJ-135,SA25673,153,16,0,1,PC,P250/14,4.4
2023-04-14,2673306,IJ-135,SA25673,172,25,0,1,PC,P250/14,4.4
2023-04-14,2673306,IJ-135,SA25673,4,0,0,1,PC,P250/14,4.4
2023-04-14,2673380,IJ-135,SA25694,121,6,0,1,PC,P250/14,3.47
2023-04-15,2673306,IJ-135,SA25673,225,3,0,1,PC,P250/14,4.4
2023-04-15,2673306,IJ-135,SA25673,193,11,0,1,PC,P250/14,4.4
2023-04-16,2673306,IJ-135,SA25673,65,4,0,1,PC,P250/14,4.4
2023-04-16,2673306,IJ-135,SA25673,22,0,0,1,PC,P250/14,4.4
2023-04-16,2673306,IJ-135,SA25673,40,0,0,1,PC,P250/14,4.4
2023-04-17,2673841,IJ-135,SA25367,263,1,0,1,PC,P250/14,2.45
2023-04-17,2673841,IJ-135,SA25367,420,3,0,1,PC,P250/14,2.45
2023-04-17,2673841,IJ-135,SA25367,96,39,0,1,PC,P250/14,2.45
2023-04-18,2673841,IJ-135,SA25367,254,0,0,1,PC,P250/14,2.45
2023-04-18,2673841,IJ-135,SA25367,396,0,0,1,PC,P250/14,2.45
2023-04-18,2673841,IJ-135,SA25367,351,13,0,1,PC,P250/14,2.45
2023-04-19,2673306,IJ-135,SA25673,3,0,0,1,PC,P250/14,4.4
