Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2669220,IJ-117,SA02530,236,11,0,1,PC,N148/18,1.59,355
2669220,IJ-117,SA02530,371,10,0,1,PC,N148/18,1.59,355
2669220,IJ-117,SA02530,285,3,0,1,PC,N148/18,1.59,355
2667838,IJ-117,SA01974,329,0,0,1,PC,N148/18,2.82,354
2667838,IJ-117,SA01974,95,0,0,1,PC,N148/18,2.82,354
2667838,IJ-117,SA01974,285,0,0,1,PC,N148/18,2.82,354
2669220,IJ-117,SA02530,153,6,0,1,PC,N148/18,1.59,354
2667838,IJ-117,SA01974,300,22,0,1,PC,N148/18,2.82,353
2667838,IJ-117,SA01974,447,15,0,1,PC,N148/18,2.82,353
2667838,IJ-117,SA01974,564,1,0,1,PC,N148/18,2.82,353
2667838,IJ-117,SA01974,376,9,0,1,PC,N148/18,2.82,352
2669184,IJ-117,SA05353,334,3,0,1,PC,F403/32,1.225,352
2669184,IJ-117,SA05353,289,6,0,1,PC,F403/32,1.225,352
2669585,IJ-117,SA02941,161,1,0,1,PC,N148/18,3.38,352
2669585,IJ-117,SA02941,73,0,0,1,PC,N148/18,3.38,352
2669184,IJ-117,SA05353,223,4,0,1,PC,F403/32,1.225,351
2669624,IJ-117,SA05949,13,0,0,1,PC,F403/32,0.532,351
2669624,IJ-117,SA05949,256,9,0,1,PC,F403/32,0.532,351
2669624,IJ-117,SA05949,3,0,0,1,PC,F403/32,0.532,351
2669624,IJ-117,SA05949,261,42,0,1,PC,F403/32,0.532,351
2669624,IJ-117,SA05949,132,22,0,1,PC,F403/32,0.532,351
2669183,IJ-117,SA02871,154,43,0,1,PC,F403/32,1.813,350
2669183,IJ-117,SA02871,369,0,0,1,PC,F403/32,1.813,350
2669624,IJ-117,SA05949,50,4,0,1,PC,F403/32,0.532,350
2669183,IJ-117,SA02871,119,28,0,1,PC,F403/32,1.813,349
2669183,IJ-117,SA02871,5,0,0,1,PC,F403/32,1.813,349
2669183,IJ-117,SA02871,196,9,0,1,PC,F403/32,1.813,348
2669183,IJ-117,SA02871,263,20,0,1,PC,F403/32,1.813,348
2669183,IJ-117,SA02871,24,0,0,1,PC,F403/32,1.813,348
2669183,IJ-117,SA02871,503,17,0,1,PC,F403/32,1.813,348
2669183,IJ-117,SA02871,313,12,0,1,PC,F403/32,1.813,347
2669183,IJ-117,SA02871,143,20,0,1,PC,F403/32,1.813,347
2669183,IJ-117,SA02871,1,0,0,1,PC,F403/32,1.813,347
2669183,IJ-117,SA02871,104,40,0,1,PC,F403/32,1.813,347
2669183,IJ-117,SA02871,55,18,0,1,PC,F403/32,1.813,346
2669183,IJ-117,SA02871,53,0,0,1,PC,F403/32,1.813,346
2670140,IJ-117,SA05954,339,0,0,1,PC,F424/40,0.604,346
