Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2669948,IJ-129,SA02794,266,16,0,2,PC,F403/32,2.9800000000000004,357
2669948,IJ-129,SA02794,1241,44,0,3,PC,F403/32,1.53,356
2669948,IJ-129,SA02794,1173,27,0,3,PC,F403/32,1.53,355
2669948,IJ-129,SA02794,1001,55,0,3,PC,F403/32,1.53,354
2669948,IJ-129,SA02794,1140,50,0,3,PC,F403/32,1.53,353
2669948,IJ-129,SA02794,1260,45,0,3,PC,F403/32,1.53,352
2669948,IJ-129,SA02794,109,4,0,3,PC,F403/32,1.53,350
2669948,IJ-129,SA02794,1116,43,0,3,PC,F403/32,1.53,349
2669948,IJ-129,SA02794,1271,4,0,3,PC,F403/32,1.53,348
2669948,IJ-129,SA02794,1244,10,0,3,PC,F403/32,1.53,347
2669948,IJ-129,SA02794,1178,9,0,4,PC,F403/32,2.371,346
2671195,IJ-129,SA05537,1164,17,0,6,PC,F403/32,6.135,345
2671589,IJ-129,SA07395,802,10,0,2,PC,N148/18,2.52,344
2671589,IJ-129,SA07395,316,0,0,2,PC,N148/18,2.52,343
2671589,IJ-129,SA07395,1357,4,0,3,PC,N148/18,3.7800000000000002,342
2671589,IJ-129,SA07395,1336,30,0,3,PC,N148/18,3.7800000000000002,341
2671589,IJ-129,SA07395,1375,5,0,3,PC,N148/18,3.7800000000000002,340
2671589,IJ-129,SA07395,1343,12,0,3,PC,N148/18,3.7800000000000002,339
2671589,IJ-129,SA07395,1021,13,0,6,PC,N148/18,18.18,338
2671190,IJ-129,SA07439,506,26,0,3,PC, F420/191,7.323,337
2671019,IJ-129,SA07170,296,12,0,3,PC,N148/18,1.23,336
2671019,IJ-129,SA07170,1120,46,0,3,PC,N148/18,3.49,335
2671190,IJ-129,SA07439,1393,11,0,5,PC, F420/191,12.442,334
2671190,IJ-129,SA07439,1183,23,0,4,PC, F420/191,8.428,333
2672060,IJ-129,SA00421,1101,16,0,3,PC,N-142/67,2.4899999999999998,332
2672060,IJ-129,SA00421,1145,33,0,3,PC,N-142/67,2.43,331
2672235,IJ-129,SA07425,301,9,0,3,PC,N-142/67,2.4000000000000004,329
2672239,IJ-129,SA05029,1434,3,0,4,PC,N146/9,2.84,328
2672496,IJ-129,SA07138,1007,20,0,4,PC,P250/14,2.12,327
2672812,IJ-129,18433,1212,53,0,3,PC,P250/14,0.8250000000000001,326
2672812,IJ-129,18433,1112,73,0,3,PC,P250/14,0.8250000000000001,325
2672812,IJ-129,18433,278,22,0,2,PC,P250/14,0.55,322
2672812,IJ-129,18433,1119,69,0,4,PC,P250/14,1.335,321
2673213,IJ-129,SA02794,1177,27,0,4,PC,F403/32,2.04,320
2673213,IJ-129,SA02794,1239,36,0,3,PC,F403/32,1.53,319
2672862,IJ-129,SA07476,767,82,0,4,PC,F420/95,3.21,318
2672862,IJ-129,SA07476,665,50,0,5,PC,F420/95,6.3100000000000005,317
2673648,IJ-129,SA05421,283,7,0,3,PC,F420/95,2.94,315
2672453,IJ-129,SA07425,1124,28,0,4,PC,N-142/67,3.2,314
2673850,IJ-129,SA02910,1327,9,0,3,PC,N148/18,1.8599999999999999,313
2672502,IJ-129,SA02973,731,28,0,5,PC,F403/32,11.23,312
2673596,IJ-129,SA02662,759,62,0,5,PC,N146/9,9.440000000000001,311
2673596,IJ-129,SA02662,190,22,0,2,PC,N146/9,3.68,308
2674122,IJ-129,SA05126,711,40,0,4,PC,F420/191,8.544,307
2672957,IJ-129,SA07439,1071,43,0,3,PC, F420/191,10.152,306
2672957,IJ-129,SA07439,1086,14,0,3,PC, F420/191,10.152,305
2672957,IJ-129,SA07439,591,42,0,4,PC, F420/191,10.794,304
2673652,IJ-129,SA02629,1220,17,0,3,PC,F403/32,7.41,303
2674563,IJ-129,SA05269,894,68,0,4,PC,F420/191,8.706000000000001,299
2674497,IJ-129,SA13760,871,63,0,4,PC,F424/64,12.42,298
2674560,IJ-129,SA07032,1119,56,0,5,PC,N146/9,3.4,297
2675017,IJ-129,SA07745,634,45,0,4,PC,P250/14,2.985,296
