Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2670796,IJ-156,15909,123,0,0,1,PC,FP75614/49,0.55,123,0,0,1,0.55,427
2670124,IJ-156,15910,628,5,0,4,PC,FP75614/49,1.99,751,5,0,5,2.54,426
2670124,IJ-156,15910,983,14,0,3,PC,FP75614/49,1.44,1734,19,0,8,3.98,425
2670124,IJ-156,15910,865,14,0,3,PC,FP75614/49,1.44,2599,33,0,11,5.42,424
2670124,IJ-156,15910,789,5,0,3,PC,FP75614/49,1.44,3388,38,0,14,6.859999999999999,423
2670124,IJ-156,15910,910,4,0,5,PC,FP75614/49,2.6100000000000003,4298,42,0,19,9.469999999999999,422
2670796,IJ-156,15909,266,24,0,1,PC,FP75614/49,0.55,4564,66,0,20,10.02,421
2670796,IJ-156,15909,167,0,0,1,PC,FP75614/49,0.55,4731,66,0,21,10.57,420
2670796,IJ-156,15909,796,0,0,3,PC,FP75614/49,1.6500000000000001,5527,66,0,24,12.22,419
2670796,IJ-156,15909,951,9,0,3,PC,FP75614/49,1.6500000000000001,6478,75,0,27,13.870000000000001,418
2670796,IJ-156,15909,990,4,0,3,PC,FP75614/49,1.6500000000000001,7468,79,0,30,15.520000000000001,417
2670796,IJ-156,15909,623,7,0,3,PC,FP75614/49,1.6500000000000001,8091,86,0,33,17.17,416
2670796,IJ-156,15909,973,0,0,3,PC,FP75614/49,1.6500000000000001,9064,86,0,36,18.82,415
2670796,IJ-156,15909,183,0,0,1,PC,FP75614/49,0.55,9247,86,0,37,19.37,413
2672507,IJ-156,15909,961,24,0,3,PC,FP75614/49,1.6500000000000001,10208,110,0,40,21.02,412
2672507,IJ-156,15909,981,3,0,3,PC,FP75614/49,1.6500000000000001,11189,113,0,43,22.669999999999998,411
2670124,IJ-156,15910,829,7,0,4,PC,FP75614/49,2.06,12018,120,0,47,24.729999999999997,410
2670124,IJ-156,15910,856,31,0,3,PC,FP75614/49,1.44,12874,151,0,50,26.169999999999998,409
2670124,IJ-156,15910,200,6,0,1,PC,FP75614/49,0.48,13074,157,0,51,26.65,408
2672506,IJ-156,15910,400,12,0,2,PC,FP75614/49,1.03,13474,169,0,53,27.68,405
2672506,IJ-156,15910,207,10,0,3,PC,FP75614/49,1.44,13681,179,0,56,29.12,404
2672506,IJ-156,15910,692,92,0,3,PC,FP75614/49,1.44,14373,271,0,59,30.560000000000002,403
2672504,IJ-156,15911,552,4,0,3,PC,FP75614/56,4.27,14925,275,0,62,34.83,402
2672504,IJ-156,15911,664,0,0,4,PC,FP75614/56,4.890000000000001,15589,275,0,66,39.72,401
2672507,IJ-156,15909,318,0,0,1,PC,FP75614/49,0.55,15907,275,0,67,40.269999999999996,400
2672507,IJ-156,15909,150,0,0,1,PC,FP75614/49,0.55,16057,275,0,68,40.81999999999999,399
2672507,IJ-156,15909,850,2,0,3,PC,FP75614/49,1.6500000000000001,16907,277,0,71,42.46999999999999,398
2672507,IJ-156,15909,889,26,0,3,PC,FP75614/49,1.6500000000000001,17796,303,0,74,44.11999999999999,397
2672507,IJ-156,15909,764,5,0,3,PC,FP75614/49,1.6500000000000001,18560,308,0,77,45.76999999999999,396
2672507,IJ-156,15909,648,92,0,4,PC,FP75614/49,2.06,19208,400,0,81,47.82999999999999,395
2672506,IJ-156,15910,452,0,0,3,PC,FP75614/49,1.44,19660,400,0,84,49.26999999999999,394
2672506,IJ-156,15910,242,20,0,1,PC,FP75614/49,0.48,19902,420,0,85,49.749999999999986,393
2672506,IJ-156,15910,104,0,0,1,PC,FP75614/49,0.48,20006,420,0,86,50.22999999999998,392
2672506,IJ-156,15910,830,15,0,3,PC,FP75614/49,1.44,20836,435,0,89,51.66999999999998,391
2672506,IJ-156,15910,783,24,0,3,PC,FP75614/49,1.44,21619,459,0,92,53.10999999999998,390
2672507,IJ-156,15909,768,6,0,3,PC,FP75614/49,1.58,22387,465,0,95,54.689999999999976,389
2672507,IJ-156,15909,773,30,0,3,PC,FP75614/49,1.6500000000000001,23160,495,0,98,56.339999999999975,388
2672507,IJ-156,15909,656,11,0,3,PC,FP75614/49,1.6500000000000001,23816,506,0,101,57.989999999999974,387
2672507,IJ-156,15909,282,9,0,1,PC,FP75614/49,0.55,24098,515,0,102,58.53999999999997,386
2672507,IJ-156,15909,513,11,0,3,PC,FP75614/49,1.6500000000000001,24611,526,0,105,60.18999999999997,384
2672507,IJ-156,15909,672,9,0,5,PC,FP75614/49,2.68,25283,535,0,110,62.86999999999997,383
2674527,IJ-156,15909,647,19,0,3,PC,FP75614/49,1.6500000000000001,25930,554,0,113,64.51999999999997,382
2674526,IJ-156,15911,387,10,0,3,PC,FP75614/56,4.34,26317,564,0,116,68.85999999999997,381
2674527,IJ-156,15909,228,44,0,4,PC,FP75614/49,4.890000000000001,26545,608,0,120,73.74999999999997,380
2674527,IJ-156,15909,180,15,0,1,PC,FP75614/49,0.55,26725,623,0,121,74.29999999999997,379
2674527,IJ-156,15909,154,0,0,1,PC,FP75614/49,0.55,26879,623,0,122,74.84999999999997,378
2674527,IJ-156,15909,809,27,0,3,PC,FP75614/49,1.6500000000000001,27688,650,0,125,76.49999999999997,377
2674527,IJ-156,15909,882,31,0,3,PC,FP75614/49,1.6500000000000001,28570,681,0,128,78.14999999999998,376
2674527,IJ-156,15909,896,10,0,3,PC,FP75614/49,1.6500000000000001,29466,691,0,131,79.79999999999998,375
2674527,IJ-156,15909,561,30,0,3,PC,FP75614/49,1.6500000000000001,30027,721,0,134,81.44999999999999,374
2674527,IJ-156,15909,564,5,0,5,PC,FP75614/49,2.54,30591,726,0,139,83.99,373
2674934,IJ-156,15910,214,3,0,2,PC,FP75614/49,0.96,30805,729,0,141,84.94999999999999,372
2674934,IJ-156,15910,354,20,0,3,PC,FP75614/49,1.44,31159,749,0,144,86.38999999999999,370
2674934,IJ-156,15910,401,10,0,3,PC,FP75614/49,1.44,31560,759,0,147,87.82999999999998,369
2674934,IJ-156,15910,317,1,0,2,PC,FP75614/49,0.96,31877,760,0,149,88.78999999999998,368
2674934,IJ-156,15910,856,5,0,3,PC,FP75614/49,1.44,32733,765,0,152,90.22999999999998,367
2674934,IJ-156,15910,919,16,0,3,PC,FP75614/49,1.44,33652,781,0,155,91.66999999999997,366
2674934,IJ-156,15910,258,3,0,3,PC,FP75614/49,1.58,33910,784,0,158,93.24999999999997,365
2674527,IJ-156,15909,162,0,0,1,PC,FP75614/49,0.55,34072,784,0,159,93.79999999999997,364
2674527,IJ-156,15909,707,8,0,4,PC,FP75614/49,2.06,34779,792,0,163,95.85999999999997,363
2674934,IJ-156,15910,257,28,0,2,PC,FP75614/49,0.96,35036,820,0,165,96.81999999999996,362
2674934,IJ-156,15910,750,15,0,5,PC,FP75614/49,2.6100000000000003,35786,835,0,170,99.42999999999996,361
2674527,IJ-156,15909,722,34,0,3,PC,FP75614/49,1.6500000000000001,36508,869,0,173,101.07999999999997,360
2674527,IJ-156,15909,905,5,0,3,PC,FP75614/49,1.6500000000000001,37413,874,0,176,102.72999999999998,359
2674527,IJ-156,15909,261,3,0,1,PC,FP75614/49,0.55,37674,877,0,177,103.27999999999997,358
