Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2667866,IJ-121,SA00834,398,0,0,1,PC,N146/9,1.022,371
2667866,IJ-121,SA00834,18,0,0,1,PC,N146/9,1.022,371
2667866,IJ-121,SA00834,126,0,0,1,PC,N146/9,1.022,370
2667875,IJ-121,SA01923,464,1,0,1,PC,N148/18,1.54,370
2669420,IJ-121,SA00734,115,0,0,1,PC,N148/18,0.805,370
2669420,IJ-121,SA00734,641,2,0,1,PC,N148/18,0.805,370
2669423,IJ-121,SA01834,206,3,0,1,PC,N148/18,0.6,370
2669423,IJ-121,SA01834,395,6,0,1,PC,N148/18,0.6,369
2669423,IJ-121,SA01834,101,3,0,1,PC,N148/18,0.6,369
2669423,IJ-121,SA01834,591,7,0,1,PC,N148/18,0.6,369
2669423,IJ-121,SA01834,2,0,0,1,PC,N148/18,0.6,368
2669423,IJ-121,SA01834,693,8,0,1,PC,N148/18,0.6,368
2669423,IJ-121,SA01834,666,0,0,1,PC,N148/18,0.6,368
2669561,IJ-121,SA00013,79,19,0,1,PC,N-142/67,1.45,368
2669561,IJ-121,SA00013,68,61,0,1,PC,N-142/67,1.45,367
2669561,IJ-121,SA00013,31,10,0,1,PC,N-142/67,1.45,367
2669563,IJ-121,SA02376,147,7,0,1,PC,N148/18,0.538,367
2669701,IJ-121,SA01805,385,2,0,1,PC,N148/18,1.353,367
2669563,IJ-121,SA02376,92,0,0,1,PC,N148/18,0.538,366
2669563,IJ-121,SA02376,543,13,0,1,PC,N148/18,0.538,366
2669735,IJ-121,SA00946,432,0,0,1,PC,N148/18,0.975,366
2669735,IJ-121,SA00946,545,6,0,1,PC,N148/18,0.975,366
2669735,IJ-121,SA00946,418,2,0,1,PC,N148/18,0.975,364
2669735,IJ-121,SA00946,5,0,0,1,PC,N148/18,0.975,364
2669735,IJ-121,SA00946,523,10,0,1,PC,N148/18,0.975,363
2669735,IJ-121,SA00946,650,4,0,1,PC,N148/18,0.975,363
2669561,IJ-121,SA00013,33,0,0,1,PC,N-142/67,1.45,362
2669561,IJ-121,SA00013,23,0,0,1,PC,N-142/67,1.45,362
2669735,IJ-121,SA00946,21,0,0,1,PC,N148/18,0.975,362
2669561,IJ-121,SA00013,7,0,0,1,PC,N-142/67,1.45,361
2669561,IJ-121,SA00013,298,54,0,1,PC,N-142/67,1.45,361
2670128,IJ-121,SA01923,391,2,0,1,PC,N148/18,1.54,361
2670128,IJ-121,SA01923,507,1,0,1,PC,N148/18,1.54,361
2670128,IJ-121,SA01923,13,0,0,1,PC,N148/18,1.54,360
2670146,IJ-121,SA01764,549,6,0,1,PC,N148/18,0.53,360
2670146,IJ-121,SA01764,427,0,0,1,PC,N148/18,0.53,360
2670146,IJ-121,SA01764,521,6,0,1,PC,N148/18,0.53,360
2670146,IJ-121,SA01764,128,0,0,1,PC,N148/18,0.53,360
2670146,IJ-121,SA01764,96,0,0,1,PC,N148/18,0.53,359
2670173,IJ-121,SA05058,361,5,0,1,PC,N148/18,0.34,359
2670173,IJ-121,SA05058,634,4,0,1,PC,N148/18,0.34,359
2670173,IJ-121,SA05058,234,1,0,1,PC,N148/18,0.34,359
2670173,IJ-121,SA05058,128,0,0,1,PC,N148/18,0.34,359
2670173,IJ-121,SA05058,460,0,0,1,PC,N148/18,0.34,357
2670173,IJ-121,SA05058,366,6,0,1,PC,N148/18,0.34,356
2670173,IJ-121,SA05058,614,8,0,1,PC,N148/18,0.34,356
2670173,IJ-121,SA05058,645,0,0,1,PC,N148/18,0.34,356
2670173,IJ-121,SA05058,298,4,0,1,PC,N148/18,0.34,355
2670794,IJ-121,SA13399,220,1,0,1,PC,N148/18,0.46,355
2670794,IJ-121,SA13399,388,9,0,1,PC,N148/18,0.46,355
2670794,IJ-121,SA13399,563,14,0,1,PC,N148/18,0.46,355
2670794,IJ-121,SA13399,25,0,0,1,PC,N148/18,0.46,355
2670794,IJ-121,SA13399,399,7,0,1,PC,N148/18,0.46,354
2670794,IJ-121,SA13399,648,0,0,1,PC,N148/18,0.46,354
2670794,IJ-121,SA13399,615,3,0,1,PC,N148/18,0.46,354
2670794,IJ-121,SA13399,350,0,0,1,PC,N148/18,0.46,353
2670794,IJ-121,SA13399,637,2,0,1,PC,N148/18,0.46,353
2670794,IJ-121,SA13399,583,0,0,1,PC,N148/18,0.46,353
2670657,IJ-121,SA07686,18,0,0,1,PC,N-142/67,1.42,352
2670657,IJ-121,SA07686,1,0,0,1,PC,N-142/67,1.42,352
2670794,IJ-121,SA13399,54,0,0,1,PC,N148/18,0.46,352
2670794,IJ-121,SA13399,252,0,0,1,PC,N148/18,0.46,352
2670794,IJ-121,SA13399,26,1,0,1,PC,N148/18,0.46,352
2670794,IJ-121,SA13399,586,7,0,1,PC,N148/18,0.46,352
2670794,IJ-121,SA13399,612,7,0,1,PC,N148/18,0.46,352
2670794,IJ-121,SA13399,5,0,0,1,PC,N148/18,0.46,351
2670794,IJ-121,SA13399,211,4,0,1,PC,N148/18,0.46,350
2670794,IJ-121,SA13399,422,1,0,1,PC,N148/18,0.46,349
2670794,IJ-121,SA13399,670,0,0,1,PC,N148/18,0.46,349
2670794,IJ-121,SA13399,547,0,0,1,PC,N148/18,0.46,349
2670794,IJ-121,SA13399,408,0,0,1,PC,N148/18,0.46,348
2670794,IJ-121,SA13399,657,7,0,1,PC,N148/18,0.46,348
2670794,IJ-121,SA13399,628,0,0,1,PC,N148/18,0.46,348
2670794,IJ-121,SA13399,356,15,0,1,PC,N148/18,0.46,347
2670794,IJ-121,SA13399,644,5,0,1,PC,N148/18,0.46,347
2670794,IJ-121,SA13399,491,2,0,1,PC,N148/18,0.46,347
2670794,IJ-121,SA13399,417,0,0,1,PC,N148/18,0.46,346
2670794,IJ-121,SA13399,669,0,0,1,PC,N148/18,0.46,346
2670794,IJ-121,SA13399,652,0,0,1,PC,N148/18,0.46,346
2670794,IJ-121,SA13399,14,0,0,1,PC,N148/18,0.46,345
2670794,IJ-121,SA13399,383,6,0,1,PC,N148/18,0.46,345
2670794,IJ-121,SA13399,624,7,0,1,PC,N148/18,0.46,345
2670794,IJ-121,SA13399,633,6,0,1,PC,N148/18,0.46,345
2670794,IJ-121,SA13399,445,4,0,1,PC,N148/18,0.46,344
2670794,IJ-121,SA13399,599,0,0,1,PC,N148/18,0.46,344
2670794,IJ-121,SA13399,382,2,0,1,PC,N148/18,0.46,343
2670794,IJ-121,SA13399,21,0,0,1,PC,N148/18,0.46,343
2670794,IJ-121,SA13399,358,2,0,1,PC,N148/18,0.46,342
2670794,IJ-121,SA13399,664,2,0,1,PC,N148/18,0.46,342
2670794,IJ-121,SA13399,657,0,0,1,PC,N148/18,0.46,342
2670794,IJ-121,SA13399,396,9,0,1,PC,N148/18,0.46,341
2670794,IJ-121,SA13399,634,6,0,1,PC,N148/18,0.46,341
2670794,IJ-121,SA13399,620,6,0,1,PC,N148/18,0.46,341
2670151,IJ-121,SA00013,357,2,0,1,PC,N-142/67,1.45,340
2670151,IJ-121,SA00013,265,11,0,1,PC,N-142/67,1.45,340
2670794,IJ-121,SA13399,11,0,0,1,PC,N148/18,0.46,340
2670151,IJ-121,SA00013,193,1,0,1,PC,N-142/67,1.45,339
2671796,IJ-121,SA01834,444,0,0,1,PC,N148/18,0.6,339
2671796,IJ-121,SA01834,688,4,0,1,PC,N148/18,0.6,339
2671796,IJ-121,SA01834,280,13,0,1,PC,N148/18,0.6,339
2669987,IJ-121,SA02484,3,0,0,1,PC,N-142/67,1.09,338
2671796,IJ-121,SA01834,180,0,0,1,PC,N148/18,0.6,338
2671796,IJ-121,SA01834,595,7,0,1,PC,N148/18,0.6,338
2671930,IJ-121,SA02690,300,5,0,1,PC,N-142/67,2.86,338
2671930,IJ-121,SA02690,317,12,0,1,PC,N-142/67,2.86,338
2669987,IJ-121,SA02484,335,0,0,1,PC,N-142/67,1.09,337
2669987,IJ-121,SA02484,344,5,0,1,PC,N-142/67,1.09,337
2669987,IJ-121,SA02484,108,7,0,1,PC,N-142/67,1.09,337
2669987,IJ-121,SA02484,17,0,0,1,PC,N-142/67,1.09,336
2669987,IJ-121,SA02484,35,0,0,1,PC,N-142/67,1.09,336
2669987,IJ-121,SA02484,35,0,0,1,PC,N-142/67,1.09,336
2669987,IJ-121,SA02484,274,0,0,1,PC,N-142/67,1.09,335
2669987,IJ-121,SA02484,448,17,0,1,PC,N-142/67,1.09,335
2671930,IJ-121,SA02690,119,20,0,1,PC,N-142/67,2.86,335
