Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2671761,IJ-151,SA00436,253,6,0,3,PC,N-142/67,3.018,253,6,0,3,3.018,342
2671761,IJ-151,SA00436,1260,0,0,5,PC,N-142/67,5.214,1513,6,0,8,8.232,341
2672497,IJ-151,SA05954,1372,0,0,4,PC,F424/40,2.776,2885,6,0,12,11.008,340
2672698,IJ-151,SA05952,1439,2,0,3,PC,F424/40 ,2.3520000000000003,4324,8,0,15,13.36,339
2673168,IJ-151,SA05883,1320,8,0,4,PC,F424/40 ,3.304,5644,16,0,19,16.663999999999998,338
2673168,IJ-151,SA05883,343,9,0,2,PC,F424/40 ,1.68,5987,25,0,21,18.343999999999998,337
2673168,IJ-151,SA05883,645,3,0,2,PC,F424/40 ,1.68,6632,28,0,23,20.023999999999997,336
2673168,IJ-151,SA05883,347,9,0,3,PC,F424/40 ,2.52,6979,37,0,26,22.543999999999997,335
2673168,IJ-151,SA05883,1098,13,0,3,PC,F424/40 ,2.036,8077,50,0,29,24.58,334
2673177,IJ-151,SA02558,1312,5,0,7,PC,F420/191,2.976,9389,55,0,36,27.555999999999997,333
2673168,IJ-151,SA05883,1216,19,0,3,PC,F424/40 ,2.52,10605,74,0,39,30.075999999999997,332
2673168,IJ-151,SA05883,1032,27,0,3,PC,F424/40 ,2.52,11637,101,0,42,32.596,331
2673537,IJ-151,SA05955,698,0,0,5,PC,F424/40,7.67,12335,101,0,47,40.266,330
2673659,IJ-151,SA12797,8,0,0,1,PC,F424/40 ,0.875,12343,101,0,48,41.141,328
2673659,IJ-151,SA12797,1407,10,0,3,PC,F424/40 ,2.625,13750,111,0,51,43.766,327
2673659,IJ-151,SA12797,1421,3,0,3,PC,F424/40 ,2.625,15171,114,0,54,46.391,326
2673659,IJ-151,SA12797,1412,0,0,3,PC,F424/40 ,2.625,16583,114,0,57,49.016,325
2673659,IJ-151,SA12797,1226,5,0,4,PC,F424/40 ,2.996,17809,119,0,61,52.012,324
2674011,IJ-151,SA05970,1392,27,0,4,PC,F424/40,2.828,19201,146,0,65,54.84,323
