Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2669220,IJ-117,SA02530,892,24,0,3,PC,N148/18,4.7700000000000005,892,24,0,3,4.7700000000000005,355
2667838,IJ-117,SA01974,862,6,0,4,PC,N148/18,10.049999999999999,1754,30,0,7,14.82,354
2667838,IJ-117,SA01974,1311,38,0,3,PC,N148/18,8.459999999999999,3065,68,0,10,23.28,353
2667838,IJ-117,SA01974,1233,19,0,5,PC,N148/18,12.03,4298,87,0,15,35.31,352
2669624,IJ-117,SA05949,888,77,0,6,PC,F403/32,3.8850000000000002,5186,164,0,21,39.195,351
2669183,IJ-117,SA02871,573,47,0,3,PC,F403/32,4.1579999999999995,5759,211,0,24,43.353,350
2669183,IJ-117,SA02871,124,28,0,2,PC,F403/32,3.626,5883,239,0,26,46.979,349
2669183,IJ-117,SA02871,986,46,0,4,PC,F403/32,7.252,6869,285,0,30,54.231,348
2669183,IJ-117,SA02871,561,72,0,4,PC,F403/32,7.252,7430,357,0,34,61.483000000000004,347
2669183,IJ-117,SA02871,864,28,0,4,PC,F403/32,4.834,8294,385,0,38,66.31700000000001,346
2670140,IJ-117,SA05954,1008,92,0,5,PC,F424/40,3.432,9302,477,0,43,69.74900000000001,345
2670155,IJ-117,SA05883,838,6,0,5,PC,F424/40,4.679,10140,483,0,48,74.42800000000001,344
2670155,IJ-117,SA05883,129,0,0,1,PC,F424/40,0.84,10269,483,0,49,75.26800000000001,342
2670155,IJ-117,SA05883,598,2,0,2,PC,F424/40,1.68,10867,485,0,51,76.94800000000002,341
2670155,IJ-117,SA05883,1151,21,0,3,PC,F424/40,2.52,12018,506,0,54,79.46800000000002,340
2670155,IJ-117,SA05883,1116,4,0,3,PC,F424/40,2.52,13134,510,0,57,81.98800000000001,339
2670155,IJ-117,SA05883,1481,7,0,3,PC,F424/40,2.52,14615,517,0,60,84.50800000000001,338
2671068,IJ-117,SA05941,1339,9,0,5,PC,F420/191,3.08,15954,526,0,65,87.58800000000001,337
2671068,IJ-117,SA05941,166,52,0,2,PC,F420/191,0.79,16120,578,0,67,88.37800000000001,335
2671068,IJ-117,SA05941,1330,22,0,3,PC,F420/191,1.185,17450,600,0,70,89.56300000000002,334
2670369,IJ-117,SA07736,1289,55,0,4,PC,F403/32,2.085,18739,655,0,74,91.64800000000001,333
2670369,IJ-117,SA07736,341,56,0,3,PC,F403/32,2.7,19080,711,0,77,94.34800000000001,332
2671167,IJ-117,SA05968,826,47,0,4,PC,F424/40,7.494,19906,758,0,81,101.84200000000001,331
2671074,IJ-117,SA05997,1055,83,0,4,PC,S316/2,2.391,20961,841,0,85,104.23300000000002,330
2671074,IJ-117,SA05997,368,11,0,2,PC,S316/2,0.894,21329,852,0,87,105.12700000000002,328
2671074,IJ-117,SA05997,1192,27,0,3,PC,S316/2,1.341,22521,879,0,90,106.46800000000002,327
2671074,IJ-117,SA05997,1217,41,0,4,PC,S316/2,3.934,23738,920,0,94,110.40200000000002,326
2671833,IJ-117,SA01917,1203,45,0,4,PC,S315/10,7.74,24941,965,0,98,118.14200000000001,325
2671833,IJ-117,SA01917,766,9,0,4,PC,S315/10,7.5840000000000005,25707,974,0,102,125.72600000000001,324
2671826,IJ-117,SA18477,1058,71,0,4,PC,F424/40,1.479,26765,1045,0,106,127.20500000000001,323
2671826,IJ-117,SA18477,265,39,0,3,PC,F424/40,0.9450000000000001,27030,1084,0,109,128.15,321
2671826,IJ-117,SA18477,1025,38,0,5,PC,F424/40,7.041,28055,1122,0,114,135.191,320
2672078,IJ-117,SA02009,1317,36,0,3,PC,P212/1,0.795,29372,1158,0,117,135.986,319
2672078,IJ-117,SA02009,1376,24,0,3,PC,P212/1,0.795,30748,1182,0,120,136.78099999999998,318
2672078,IJ-117,SA02009,1448,11,0,3,PC,P212/1,0.795,32196,1193,0,123,137.57599999999996,317
2672078,IJ-117,SA02009,1508,14,0,3,PC,P212/1,0.795,33704,1207,0,126,138.37099999999995,316
2672078,IJ-117,SA02009,304,11,0,3,PC,P212/1,0.795,34008,1218,0,129,139.16599999999994,314
2672501,IJ-117,SA07320,1035,27,0,4,PC,P212/1,8.365,35043,1245,0,133,147.53099999999995,313
2672796,IJ-117,SA05965,1028,38,0,4,PC,F424/40,5.307,36071,1283,0,137,152.83799999999994,312
2672796,IJ-117,SA05965,460,8,0,2,PC,F424/40,1.674,36531,1291,0,139,154.51199999999994,311
2672653,IJ-117,SA02961,1139,12,0,4,PC,P212/1,4.885000000000001,37670,1303,0,143,159.39699999999993,310
2672653,IJ-117,SA02961,1137,47,0,5,PC,P212/1,3.724,38807,1350,0,148,163.12099999999992,309
2673214,IJ-117,SA07538,727,36,0,3,PC,P212/1,1.7469999999999999,39534,1386,0,151,164.86799999999994,308
2673216,IJ-117,SA07539,761,69,0,3,PC,P212/1,1.6949999999999998,40295,1455,0,154,166.56299999999993,306
2673216,IJ-117,SA07539,1254,69,0,3,PC,P212/1,1.6949999999999998,41549,1524,0,157,168.25799999999992,305
2673550,IJ-117,SA07116,530,102,0,5,PC,P212/1,2.877,42079,1626,0,162,171.13499999999993,304
