Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2667866,IJ-121,SA00834,416,0,0,2,PC,N146/9,2.044,416,0,0,2,2.044,371
2667866,IJ-121,SA00834,1552,6,0,5,PC,N146/9,4.772,1968,6,0,7,6.816000000000001,370
2669423,IJ-121,SA01834,1087,16,0,3,PC,N148/18,1.7999999999999998,3055,22,0,10,8.616,369
2669423,IJ-121,SA01834,1440,27,0,4,PC,N148/18,3.25,4495,49,0,14,11.866,368
2669563,IJ-121,SA02376,631,80,0,4,PC,N148/18,4.791,5126,129,0,18,16.657,367
2669563,IJ-121,SA02376,1612,19,0,4,PC,N148/18,3.026,6738,148,0,22,19.683,366
2669735,IJ-121,SA00946,423,2,0,2,PC,N148/18,1.95,7161,150,0,24,21.633,364
2669735,IJ-121,SA00946,1173,14,0,2,PC,N148/18,1.95,8334,164,0,26,23.583,363
2669561,IJ-121,SA00013,77,0,0,3,PC,N-142/67,3.875,8411,164,0,29,27.458,362
2670128,IJ-121,SA01923,1203,57,0,4,PC,N148/18,5.98,9614,221,0,33,33.438,361
2670128,IJ-121,SA01923,1638,12,0,5,PC,N148/18,3.66,11252,233,0,38,37.098,360
2670146,IJ-121,SA01764,1453,10,0,5,PC,N148/18,1.8900000000000001,12705,243,0,43,38.988,359
2670173,IJ-121,SA05058,460,0,0,1,PC,N148/18,0.34,13165,243,0,44,39.328,357
2670173,IJ-121,SA05058,1625,14,0,3,PC,N148/18,1.02,14790,257,0,47,40.348000000000006,356
2670173,IJ-121,SA05058,1494,28,0,5,PC,N148/18,2.18,16284,285,0,52,42.528000000000006,355
2670794,IJ-121,SA13399,1662,10,0,3,PC,N148/18,1.3800000000000001,17946,295,0,55,43.90800000000001,354
2670794,IJ-121,SA13399,1570,2,0,3,PC,N148/18,1.3800000000000001,19516,297,0,58,45.28800000000001,353
2670794,IJ-121,SA13399,1549,15,0,7,PC,N148/18,5.14,21065,312,0,65,50.42800000000001,352
2670794,IJ-121,SA13399,5,0,0,1,PC,N148/18,0.46,21070,312,0,66,50.88800000000001,351
2670794,IJ-121,SA13399,211,4,0,1,PC,N148/18,0.46,21281,316,0,67,51.34800000000001,350
2670794,IJ-121,SA13399,1639,1,0,3,PC,N148/18,1.3800000000000001,22920,317,0,70,52.728000000000016,349
2670794,IJ-121,SA13399,1693,7,0,3,PC,N148/18,1.3800000000000001,24613,324,0,73,54.10800000000002,348
2670794,IJ-121,SA13399,1491,22,0,3,PC,N148/18,1.3800000000000001,26104,346,0,76,55.48800000000002,347
2670794,IJ-121,SA13399,1738,0,0,3,PC,N148/18,1.3800000000000001,27842,346,0,79,56.86800000000002,346
2670794,IJ-121,SA13399,1654,19,0,4,PC,N148/18,1.84,29496,365,0,83,58.70800000000003,345
2670794,IJ-121,SA13399,1044,4,0,2,PC,N148/18,0.92,30540,369,0,85,59.62800000000003,344
2670794,IJ-121,SA13399,403,2,0,2,PC,N148/18,0.92,30943,371,0,87,60.54800000000003,343
2670794,IJ-121,SA13399,1679,4,0,3,PC,N148/18,1.3800000000000001,32622,375,0,90,61.92800000000003,342
2670794,IJ-121,SA13399,1650,21,0,3,PC,N148/18,1.3800000000000001,34272,396,0,93,63.308000000000035,341
2670151,IJ-121,SA00013,633,13,0,3,PC,N-142/67,3.36,34905,409,0,96,66.66800000000003,340
2670151,IJ-121,SA00013,1605,18,0,4,PC,N-142/67,3.25,36510,427,0,100,69.91800000000003,339
2671796,IJ-121,SA01834,1395,24,0,5,PC,N148/18,8.01,37905,451,0,105,77.92800000000004,338
2669987,IJ-121,SA02484,787,12,0,3,PC,N-142/67,3.2700000000000005,38692,463,0,108,81.19800000000004,337
2669987,IJ-121,SA02484,87,0,0,3,PC,N-142/67,3.2700000000000005,38779,463,0,111,84.46800000000003,336
2671930,IJ-121,SA02690,1620,41,0,6,PC,N-142/67,9.574,40399,504,0,117,94.04200000000003,335
2672051,IJ-121,SA01422,1590,23,0,3,PC,N148/18,2.291,41989,527,0,120,96.33300000000003,334
2672108,IJ-121,SA02415,1684,5,0,3,PC,N148/18,1.851,43673,532,0,123,98.18400000000003,333
2670241,IJ-121,SA08399,1318,44,0,3,PC,N-142/67,4.312,44991,576,0,126,102.49600000000002,332
2670241,IJ-121,SA08399,1334,17,0,3,PC,N-142/67,5.43,46325,593,0,129,107.92600000000002,331
2670241,IJ-121,SA08399,270,2,0,4,PC,N-142/67,6.405,46595,595,0,133,114.33100000000002,329
2671837,IJ-121,SA00946,1272,35,0,5,PC,N148/18,4.64,47867,630,0,138,118.97100000000002,328
2672713,IJ-121,SA08321,1502,9,0,5,PC,N148/18,3.972,49369,639,0,143,122.94300000000001,327
2672859,IJ-121,SA05058,1736,4,0,3,PC,N148/18,1.02,51105,643,0,146,123.96300000000001,326
2672859,IJ-121,SA05058,1626,7,0,4,PC,N148/18,1.835,52731,650,0,150,125.798,325
2673193,IJ-121,SA00272,476,4,0,3,PC,N148/18,2.445,53207,654,0,153,128.243,322
2673193,IJ-121,SA00272,1522,20,0,5,PC,N148/18,2.335,54729,674,0,158,130.578,321
2673315,IJ-121,SA02420,1478,14,0,3,PC,N148/18,0.705,56207,688,0,161,131.28300000000002,320
2673552,IJ-121,SA00498,1160,49,0,5,PC,N148/18,5.585000000000001,57367,737,0,166,136.86800000000002,319
2672477,IJ-121,SA07073,19,0,0,2,PC,N148/18,0.98,57386,737,0,168,137.848,318
2672477,IJ-121,SA07073,936,13,0,4,PC,N148/18,2.214,58322,750,0,172,140.062,317
2673744,IJ-121,SA02415,307,0,0,3,PC,N148/18,1.851,58629,750,0,175,141.913,315
2673744,IJ-121,SA02415,1450,5,0,4,PC,N148/18,2.31,60079,755,0,179,144.223,314
2673446,IJ-121,SA01366,1287,2,0,4,PC,N148/18,1.678,61366,757,0,183,145.901,313
2673446,IJ-121,SA01366,1620,15,0,3,PC,N148/18,1.1400000000000001,62986,772,0,186,147.041,312
2673446,IJ-121,SA01366,1569,12,0,4,PC,N148/18,3.92,64555,784,0,190,150.96099999999998,311
