Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2669948,IJ-129,SA02794,266,16,0,2,PC,F403/32,2.9800000000000004,266,16,0,2,2.9800000000000004,357
2669948,IJ-129,SA02794,1241,44,0,3,PC,F403/32,1.53,1507,60,0,5,4.510000000000001,356
2669948,IJ-129,SA02794,1173,27,0,3,PC,F403/32,1.53,2680,87,0,8,6.040000000000001,355
2669948,IJ-129,SA02794,1001,55,0,3,PC,F403/32,1.53,3681,142,0,11,7.570000000000001,354
2669948,IJ-129,SA02794,1140,50,0,3,PC,F403/32,1.53,4821,192,0,14,9.100000000000001,353
2669948,IJ-129,SA02794,1260,45,0,3,PC,F403/32,1.53,6081,237,0,17,10.63,352
2669948,IJ-129,SA02794,109,4,0,3,PC,F403/32,1.53,6190,241,0,20,12.16,350
2669948,IJ-129,SA02794,1116,43,0,3,PC,F403/32,1.53,7306,284,0,23,13.69,349
2669948,IJ-129,SA02794,1271,4,0,3,PC,F403/32,1.53,8577,288,0,26,15.219999999999999,348
2669948,IJ-129,SA02794,1244,10,0,3,PC,F403/32,1.53,9821,298,0,29,16.75,347
2669948,IJ-129,SA02794,1178,9,0,4,PC,F403/32,2.371,10999,307,0,33,19.121,346
2671195,IJ-129,SA05537,1164,17,0,6,PC,F403/32,6.135,12163,324,0,39,25.256,345
2671589,IJ-129,SA07395,802,10,0,2,PC,N148/18,2.52,12965,334,0,41,27.776,344
2671589,IJ-129,SA07395,316,0,0,2,PC,N148/18,2.52,13281,334,0,43,30.296,343
2671589,IJ-129,SA07395,1357,4,0,3,PC,N148/18,3.7800000000000002,14638,338,0,46,34.076,342
2671589,IJ-129,SA07395,1336,30,0,3,PC,N148/18,3.7800000000000002,15974,368,0,49,37.856,341
2671589,IJ-129,SA07395,1375,5,0,3,PC,N148/18,3.7800000000000002,17349,373,0,52,41.636,340
2671589,IJ-129,SA07395,1343,12,0,3,PC,N148/18,3.7800000000000002,18692,385,0,55,45.416000000000004,339
2671589,IJ-129,SA07395,1021,13,0,6,PC,N148/18,18.18,19713,398,0,61,63.596000000000004,338
2671190,IJ-129,SA07439,506,26,0,3,PC, F420/191,7.323,20219,424,0,64,70.91900000000001,337
2671019,IJ-129,SA07170,296,12,0,3,PC,N148/18,1.23,20515,436,0,67,72.14900000000002,336
2671019,IJ-129,SA07170,1120,46,0,3,PC,N148/18,3.49,21635,482,0,70,75.63900000000001,335
2671190,IJ-129,SA07439,1393,11,0,5,PC, F420/191,12.442,23028,493,0,75,88.08100000000002,334
2671190,IJ-129,SA07439,1183,23,0,4,PC, F420/191,8.428,24211,516,0,79,96.50900000000001,333
2672060,IJ-129,SA00421,1101,16,0,3,PC,N-142/67,2.4899999999999998,25312,532,0,82,98.99900000000001,332
2672060,IJ-129,SA00421,1145,33,0,3,PC,N-142/67,2.43,26457,565,0,85,101.42900000000002,331
2672235,IJ-129,SA07425,301,9,0,3,PC,N-142/67,2.4000000000000004,26758,574,0,88,103.82900000000002,329
2672239,IJ-129,SA05029,1434,3,0,4,PC,N146/9,2.84,28192,577,0,92,106.66900000000003,328
2672496,IJ-129,SA07138,1007,20,0,4,PC,P250/14,2.12,29199,597,0,96,108.78900000000003,327
2672812,IJ-129,18433,1212,53,0,3,PC,P250/14,0.8250000000000001,30411,650,0,99,109.61400000000003,326
2672812,IJ-129,18433,1112,73,0,3,PC,P250/14,0.8250000000000001,31523,723,0,102,110.43900000000004,325
2672812,IJ-129,18433,278,22,0,2,PC,P250/14,0.55,31801,745,0,104,110.98900000000003,322
2672812,IJ-129,18433,1119,69,0,4,PC,P250/14,1.335,32920,814,0,108,112.32400000000003,321
2673213,IJ-129,SA02794,1177,27,0,4,PC,F403/32,2.04,34097,841,0,112,114.36400000000003,320
2673213,IJ-129,SA02794,1239,36,0,3,PC,F403/32,1.53,35336,877,0,115,115.89400000000003,319
2672862,IJ-129,SA07476,767,82,0,4,PC,F420/95,3.21,36103,959,0,119,119.10400000000003,318
