Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2673663,IJ-120,SA01963,1586,23,0,5,PC,N148/18,1.8599999999999999,57294,1521,0,203,254.68500000000006,313
2673663,IJ-120,SA01963,1538,14,0,4,PC,N148/18,3.509,58832,1535,0,207,258.1940000000001,312
2673844,IJ-120,SA01918,1539,2,0,4,PC,N148/18,5.396,60371,1537,0,211,263.5900000000001,311
2673844,IJ-120,SA01918,1257,24,0,4,PC,N148/18,4.1899999999999995,61628,1561,0,215,267.7800000000001,310
2674091,IJ-120,SA07023,354,14,0,3,PC,N148/18,1.35,61982,1575,0,218,269.1300000000001,307
2674153,IJ-120,SA01695,825,6,0,4,PC,N148/18,2.407,62807,1581,0,222,271.5370000000001,306
2674211,IJ-120,SA00063,1389,10,0,4,PC,N148/18,3.9779999999999998,64196,1591,0,226,275.5150000000001,305
2674214,IJ-120,SA00946,1566,33,0,3,PC,N148/18,2.925,65762,1624,0,229,278.4400000000001,304
2674214,IJ-120,SA00946,1577,6,0,3,PC,N148/18,2.925,67339,1630,0,232,281.3650000000001,303
2674214,IJ-120,SA00946,1572,21,0,3,PC,N148/18,2.925,68911,1651,0,235,284.29000000000013,302
2674214,IJ-120,SA00946,1556,20,0,3,PC,N148/18,2.925,70467,1671,0,238,287.21500000000015,298
2674214,IJ-120,SA00946,1547,4,0,5,PC,N148/18,3.36,72014,1675,0,243,290.57500000000016,297
2674593,IJ-120,SA02262,1626,23,0,3,PC,N148/18,1.56,73640,1698,0,246,292.13500000000016,296
2674593,IJ-120,SA02262,1628,21,0,3,PC,N148/18,1.56,75268,1719,0,249,293.69500000000016,295
2674593,IJ-120,SA02262,208,27,0,3,PC,N148/18,1.56,75476,1746,0,252,295.25500000000017,293
2674593,IJ-120,SA02262,988,41,0,3,PC,N148/18,1.56,76464,1787,0,255,296.81500000000017,292
2675340,IJ-120,SA02008,1403,10,0,5,PC,N148/18,3.0100000000000002,77867,1797,0,260,299.82500000000016,291
2675340,IJ-120,SA02008,1649,17,0,3,PC,N148/18,1.08,79516,1814,0,263,300.90500000000014,290
2675517,IJ-120,SA10498,1440,12,0,5,PC,N148/18,4.411,80956,1826,0,268,305.31600000000014,289
2672022,IJ-120,SA01535,1514,1,0,4,PC,N148/18,2.261,82470,1827,0,272,307.57700000000017,288
2672022,IJ-120,SA01535,327,0,0,1,PC,N148/18,0.41,82797,1827,0,273,307.9870000000002,286
2672022,IJ-120,SA01535,1552,8,0,3,PC,N148/18,1.23,84349,1835,0,276,309.2170000000002,285
2672022,IJ-120,SA01535,1619,1,0,3,PC,N148/18,1.23,85968,1836,0,279,310.44700000000023,284
2672022,IJ-120,SA01535,1575,3,0,3,PC,N148/18,1.23,87543,1839,0,282,311.67700000000025,283
2675687,IJ-120,SA02376,1524,4,0,5,PC,N148/18,2.434,89067,1843,0,287,314.1110000000003,282
