Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2668923,IJ-118,SA05945,310,0,0,1,PC,S315/10,0.46,364
2668886,IJ-118,SA02115,253,13,0,1,PC,S315/10,2.23,363
2668886,IJ-118,SA02115,255,24,0,1,PC,S315/10,2.23,363
2668923,IJ-118,SA05945,153,6,0,1,PC,S315/10,0.46,363
2669052,IJ-118,SA05997,291,9,0,1,PC,S316/2,0.447,363
2669052,IJ-118,SA05997,109,8,0,1,PC,S316/2,0.447,363
2669052,IJ-118,SA05997,302,7,0,1,PC,S316/2,0.447,362
2669052,IJ-118,SA05997,224,13,0,1,PC,S316/2,0.447,362
2669052,IJ-118,SA05997,503,13,0,1,PC,S316/2,0.447,362
2669052,IJ-118,SA05997,263,35,0,1,PC,S316/2,0.447,361
2669052,IJ-118,SA05997,536,0,0,1,PC,S316/2,0.447,361
2669052,IJ-118,SA05997,555,0,0,1,PC,S316/2,0.447,361
2669052,IJ-118,SA05997,5,0,0,1,PC,S316/2,0.447,360
2669052,IJ-118,SA05997,58,0,0,1,PC,S316/2,0.447,360
2669255,IJ-118,SA01969,166,14,0,1,PC,S315/10,1.1,360
2669255,IJ-118,SA01969,388,10,0,1,PC,S315/10,1.1,360
2668020,IJ-118,SA01917,137,3,0,1,PC,S315/10,2.35,356
2668020,IJ-118,SA01917,457,19,0,1,PC,S315/10,2.35,356
2668020,IJ-118,SA01917,326,4,0,1,PC,S315/10,2.35,356
2669255,IJ-118,SA01969,2,0,0,1,PC,S315/10,1.1,356
2669560,IJ-118,SA05061,358,14,0,1,PC,S315/10,1.05,355
2669560,IJ-118,SA05061,7,0,0,1,PC,S315/10,1.05,355
2669560,IJ-118,SA05061,13,0,0,1,PC,S315/10,1.05,355
2669560,IJ-118,SA05061,308,8,0,1,PC,S315/10,1.05,354
2669744,IJ-118,SA05659,322,9,0,1,PC,S315/10,0.81,352
2669744,IJ-118,SA05659,549,0,0,1,PC,S315/10,0.81,352
2669744,IJ-118,SA05659,109,11,0,1,PC,S315/10,0.81,352
2669185,IJ-118,SA05079,112,7,0,1,PC,S315/10,1.52,350
2669744,IJ-118,SA05659,108,11,0,1,PC,S315/10,0.81,350
2669744,IJ-118,SA05659,8,7,0,1,PC,S315/10,0.81,350
2669185,IJ-118,SA05079,255,3,0,1,PC,S315/10,1.52,349
2669185,IJ-118,SA05079,412,18,0,1,PC,S315/10,1.52,349
2669185,IJ-118,SA05079,572,3,0,1,PC,S315/10,1.52,349
2669185,IJ-118,SA05079,370,1,0,1,PC,S315/10,1.52,348
2669185,IJ-118,SA05079,453,0,0,1,PC,S315/10,1.52,348
2669185,IJ-118,SA05079,585,0,0,1,PC,S315/10,1.52,348
2669185,IJ-118,SA05079,82,0,0,1,PC,S315/10,1.52,347
2669185,IJ-118,SA05079,547,4,0,1,PC,S315/10,1.52,347
2670085,IJ-118,SA65999,358,1,0,1,PC,S315/10,2.23,347
2670085,IJ-118,SA65999,376,1,0,1,PC,S315/10,2.23,346
2670085,IJ-118,SA65999,512,9,0,1,PC,S315/10,2.23,346
2670085,IJ-118,SA65999,494,7,0,1,PC,S315/10,2.23,346
2670085,IJ-118,SA65999,77,0,0,1,PC,S315/10,2.23,345
2670085,IJ-118,SA65999,578,5,0,1,PC,S315/10,2.23,345
2670085,IJ-118,SA65999,568,1,0,1,PC,S315/10,2.23,345
2670136,IJ-118,SA05933,126,2,0,1,PC,S315/10,0.56,345
2670152,IJ-118,SA00803,17,0,0,1,PC,S315/10,3.98,345
2670152,IJ-118,SA00803,11,0,0,1,PC,S315/10,3.98,345
2670136,IJ-118,SA05933,275,18,0,1,PC,S315/10,0.56,343
2670136,IJ-118,SA05933,373,2,0,1,PC,S315/10,0.56,342
2670136,IJ-118,SA05933,599,3,0,1,PC,S315/10,0.56,342
2670136,IJ-118,SA05933,491,10,0,1,PC,S315/10,0.56,342
2670127,IJ-118,SA01917,342,0,0,1,PC,S315/10,2.35,341
2670127,IJ-118,SA01917,537,0,0,1,PC,S315/10,2.35,341
2670127,IJ-118,SA01917,446,14,0,1,PC,S315/10,2.35,341
2670127,IJ-118,SA01917,405,4,0,1,PC,S315/10,2.35,340
2670152,IJ-118,SA00803,228,2,0,1,PC,S315/10,3.98,340
2670152,IJ-118,SA00803,102,3,0,1,PC,S315/10,3.98,340
2670904,IJ-118,SA02235,343,2,0,1,PC,S315/10,1.6,340
2670904,IJ-118,SA02235,89,3,0,1,PC,S315/10,1.6,340
2671051,IJ-118,SA05035,14,14,0,1,PC,S315/10,3.97,340
2670904,IJ-118,SA02235,47,5,0,1,PC,S315/10,1.6,339
