Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2669220,IJ-117,SA02530,892,24,0,3,PC,N148/18,4.7700000000000005,355
2667838,IJ-117,SA01974,862,6,0,4,PC,N148/18,10.049999999999999,354
2667838,IJ-117,SA01974,1311,38,0,3,PC,N148/18,8.459999999999999,353
2667838,IJ-117,SA01974,1233,19,0,5,PC,N148/18,12.03,352
2669624,IJ-117,SA05949,888,77,0,6,PC,F403/32,3.8850000000000002,351
2669183,IJ-117,SA02871,573,47,0,3,PC,F403/32,4.1579999999999995,350
2669183,IJ-117,SA02871,124,28,0,2,PC,F403/32,3.626,349
2669183,IJ-117,SA02871,986,46,0,4,PC,F403/32,7.252,348
2669183,IJ-117,SA02871,561,72,0,4,PC,F403/32,7.252,347
2669183,IJ-117,SA02871,864,28,0,4,PC,F403/32,4.834,346
2670140,IJ-117,SA05954,1008,92,0,5,PC,F424/40,3.432,345
2670155,IJ-117,SA05883,838,6,0,5,PC,F424/40,4.679,344
2670155,IJ-117,SA05883,129,0,0,1,PC,F424/40,0.84,342
2670155,IJ-117,SA05883,598,2,0,2,PC,F424/40,1.68,341
2670155,IJ-117,SA05883,1151,21,0,3,PC,F424/40,2.52,340
2670155,IJ-117,SA05883,1116,4,0,3,PC,F424/40,2.52,339
2670155,IJ-117,SA05883,1481,7,0,3,PC,F424/40,2.52,338
2671068,IJ-117,SA05941,1339,9,0,5,PC,F420/191,3.08,337
2671068,IJ-117,SA05941,166,52,0,2,PC,F420/191,0.79,335
2671068,IJ-117,SA05941,1330,22,0,3,PC,F420/191,1.185,334
2670369,IJ-117,SA07736,1289,55,0,4,PC,F403/32,2.085,333
2670369,IJ-117,SA07736,341,56,0,3,PC,F403/32,2.7,332
2671167,IJ-117,SA05968,826,47,0,4,PC,F424/40,7.494,331
2671074,IJ-117,SA05997,1055,83,0,4,PC,S316/2,2.391,330
2671074,IJ-117,SA05997,368,11,0,2,PC,S316/2,0.894,328
2671074,IJ-117,SA05997,1192,27,0,3,PC,S316/2,1.341,327
2671074,IJ-117,SA05997,1217,41,0,4,PC,S316/2,3.934,326
2671833,IJ-117,SA01917,1203,45,0,4,PC,S315/10,7.74,325
2671833,IJ-117,SA01917,766,9,0,4,PC,S315/10,7.5840000000000005,324
2671826,IJ-117,SA18477,1058,71,0,4,PC,F424/40,1.479,323
2671826,IJ-117,SA18477,265,39,0,3,PC,F424/40,0.9450000000000001,321
2671826,IJ-117,SA18477,1025,38,0,5,PC,F424/40,7.041,320
2672078,IJ-117,SA02009,1317,36,0,3,PC,P212/1,0.795,319
2672078,IJ-117,SA02009,1376,24,0,3,PC,P212/1,0.795,318
2672078,IJ-117,SA02009,1448,11,0,3,PC,P212/1,0.795,317
2672078,IJ-117,SA02009,1508,14,0,3,PC,P212/1,0.795,316
2672078,IJ-117,SA02009,304,11,0,3,PC,P212/1,0.795,314
2672501,IJ-117,SA07320,1035,27,0,4,PC,P212/1,8.365,313
2672796,IJ-117,SA05965,1028,38,0,4,PC,F424/40,5.307,312
2672796,IJ-117,SA05965,460,8,0,2,PC,F424/40,1.674,311
2672653,IJ-117,SA02961,1139,12,0,4,PC,P212/1,4.885000000000001,310
2672653,IJ-117,SA02961,1137,47,0,5,PC,P212/1,3.724,309
2673214,IJ-117,SA07538,727,36,0,3,PC,P212/1,1.7469999999999999,308
2673216,IJ-117,SA07539,761,69,0,3,PC,P212/1,1.6949999999999998,306
2673216,IJ-117,SA07539,1254,69,0,3,PC,P212/1,1.6949999999999998,305
2673550,IJ-117,SA07116,530,102,0,5,PC,P212/1,2.877,304
2673606,IJ-117,SA07351,16,0,0,1,PC,P212/1,0.486,303
2673606,IJ-117,SA07351,792,71,0,3,PC,P212/1,1.458,302
2673606,IJ-117,SA07351,262,53,0,3,PC,P212/1,1.458,300
2643172,IJ-117,SA07281,1059,34,0,4,PC,N148/18,13.015,299
2673847,IJ-117,SA05253,813,28,0,5,PC,F420/191,6.365,298
2673943,IJ-117,SA02578,778,39,0,3,PC,F420/191,4.755,297
2674063,IJ-117,SA05917,1222,25,0,4,PC,F403/32,6.865,296
2674063,IJ-117,SA05917,215,12,0,3,PC,F403/32,5.28,293
2673183,IJ-117,SA07139,967,54,0,4,PC,P250/14,4.43,292
2674222,IJ-117,SA07065,1006,44,0,6,PC,N148/18,4.438,291
2674222,IJ-117,SA07065,735,3,0,4,PC,N148/18,4.36,290
2674222,IJ-117,SA07065,1276,18,0,5,PC,N148/18,2.67,289
2674275,IJ-117,SA05941,724,46,0,5,PC,F420/191,6.532,288
2674357,IJ-117,SA08427,940,25,0,5,PC,F420/191,9.57,284
2674357,IJ-117,SA08427,1175,40,0,4,PC,F420/191,3.609,283
2674980,IJ-117,SA07539,1330,21,0,4,PC,P212/1,2.2859999999999996,282
2675053,IJ-117,SA07538,1485,28,0,3,PC,P212/1,1.773,281
2675053,IJ-117,SA07538,384,6,0,3,PC,P212/1,1.773,279
2675208,IJ-117,SA07453,914,119,0,4,PC,P212/1,2.946,278
2675208,IJ-117,SA07453,1193,26,0,4,PC,P212/1,2.926,277
2675363,IJ-117,SA07284,1324,29,0,3,PC,P212/1,1.7129999999999999,276
2675363,IJ-117,SA07284,1277,23,0,3,PC,P212/1,1.7129999999999999,275
2675363,IJ-117,SA07284,1396,14,0,5,PC,P212/1,2.8549999999999995,274
2675363,IJ-117,SA07284,878,5,0,2,PC,P212/1,1.142,273
2675363,IJ-117,SA07284,313,0,0,1,PC,P212/1,0.571,272
2675363,IJ-117,SA07284,1249,18,0,3,PC,P212/1,1.7129999999999999,271
2675363,IJ-117,SA07284,1236,37,0,3,PC,P212/1,1.7129999999999999,270
2675363,IJ-117,SA07284,1300,28,0,3,PC,P212/1,1.7129999999999999,269
2675876,IJ-117,SA02142,884,54,0,4,PC,F403/32,2.852,268
2675876,IJ-117,SA02142,1011,50,0,4,PC,F403/32,3.42,267
2675876,IJ-117,SA02142,690,64,0,2,PC,F403/32,1.71,266
2675876,IJ-117,SA02142,231,2,0,2,PC,F403/32,1.71,265
2675876,IJ-117,SA02142,996,82,0,3,PC,F403/32,2.565,264
2675876,IJ-117,SA02142,1024,49,0,3,PC,F403/32,2.565,263
2675876,IJ-117,SA02142,1145,29,0,3,PC,F403/32,2.565,262
2675876,IJ-117,SA02142,1122,32,0,3,PC,F403/32,2.565,261
2675876,IJ-117,SA02142,1134,33,0,4,PC,F403/32,3.42,260
2675876,IJ-117,SA02142,778,18,0,2,PC,F403/32,1.71,259
2675876,IJ-117,SA02142,106,3,0,2,PC,F403/32,1.71,258
2675865,IJ-117,SA07199,1254,18,0,4,PC,P212/1,1.944,257
2675865,IJ-117,SA07199,1227,42,0,3,PC,P212/1,1.602,256
2675865,IJ-117,SA07199,273,30,0,2,PC,P212/1,1.068,255
2675865,IJ-117,SA07199,955,6,0,3,PC,P212/1,1.602,254
2675865,IJ-117,SA07199,683,10,0,3,PC,P212/1,1.602,253
2675865,IJ-117,SA07199,309,0,0,3,PC,P212/1,1.602,251
2675865,IJ-117,SA07199,975,12,0,4,PC,P212/1,2.91,250
2677019,IJ-117,SA05032,1490,2,0,3,PC,N148/18,2.3760000000000003,249
2677019,IJ-117,SA05032,1477,4,0,3,PC,N148/18,2.3760000000000003,248
2677019,IJ-117,SA05032,1285,7,0,3,PC,N148/18,2.3760000000000003,247
2677523,IJ-117,SA05027,38,0,0,2,PC,N146/9,3.0,246
2677523,IJ-117,SA05027,257,7,0,3,PC,N146/9,4.5,244
2677523,IJ-117,SA05027,710,12,0,3,PC,N146/9,4.5,243
2677523,IJ-117,SA05027,1358,7,0,3,PC,N146/9,4.5,242
2677523,IJ-117,SA05027,1161,8,0,4,PC,N146/9,3.915,241
2677707,IJ-117,SA05439,1099,21,0,4,PC,F403/32,3.576,240
2677707,IJ-117,SA05439,1022,15,0,3,PC,F403/32,0.9239999999999999,239
2677707,IJ-117,SA05439,337,3,0,3,PC,F403/32,0.9239999999999999,237
2677707,IJ-117,SA05439,1263,48,0,4,PC,F403/32,1.493,236
2677817,IJ-117,SA05941,684,12,0,2,PC,F420/191,0.79,235
2677817,IJ-117,SA05941,940,38,0,4,PC,F420/191,11.489,234
2677997,IJ-117,SA08322,904,36,0,3,PC,F403/32,11.454,233
2678093,IJ-117,SA07284,1041,13,0,5,PC,P212/1,13.315999999999999,232
2678093,IJ-117,SA07284,774,9,0,2,PC,P212/1,1.142,231
2678093,IJ-117,SA07284,263,1,0,2,PC,P212/1,1.142,230
2678093,IJ-117,SA07284,1075,41,0,3,PC,P212/1,1.7129999999999999,229
2678093,IJ-117,SA07284,1139,12,0,3,PC,P212/1,1.7129999999999999,228
2678093,IJ-117,SA07284,1029,27,0,3,PC,P212/1,1.7129999999999999,227
2678093,IJ-117,SA07284,1140,5,0,3,PC,P212/1,1.7129999999999999,226
2678093,IJ-117,SA07284,836,41,0,3,PC,P212/1,1.531,225
2678297,IJ-117,SA02990,233,31,0,3,PC,P212/1,1.44,223
2678297,IJ-117,SA02990,193,36,0,3,PC,P212/1,1.44,222
2678755,IJ-117,SA07351,530,54,0,4,PC,P212/1,4.806,221
2678862,IJ-117,SA01898,1077,46,0,4,PC,P212/1,4.64,220
2679039,IJ-117,SA02930,1194,23,0,3,PC,P212/1,1.2000000000000002,219
2679039,IJ-117,SA02930,1649,24,0,3,PC,P212/1,1.2000000000000002,218
2679160,IJ-117,SA05664,791,5,0,2,PC,P250/14,1.09,217
2679160,IJ-117,SA05664,241,6,0,3,PC,P250/14,1.6350000000000002,216
2679039,IJ-117,SA02930,878,27,0,4,PC,P212/1,1.745,215
2679039,IJ-117,SA02930,1187,53,0,3,PC,P212/1,1.2000000000000002,214
2679039,IJ-117,SA02930,547,18,0,2,PC,P212/1,0.8,213
2678474,IJ-117,SA02941,903,48,0,5,PC,N148/18,7.85,212
