Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2671875,IJ-135,SA05679,179,19,0,1,PC,AC- 70810,1.554,179,19,0,1,1.554,342
2670343,IJ-135,SA07050,915,35,0,4,PC,N148/18,4.404,1094,54,0,5,5.958,341
2670341,IJ-135,SA25674,1104,9,0,4,PC,P250/14,8.94,2198,63,0,9,14.898,340
2670341,IJ-135,SA25674,372,90,0,3,PC,P250/14,18.27,2570,153,0,12,33.168,339
2670341,IJ-135,SA25674,973,15,0,4,PC,P250/14,8.94,3543,168,0,16,42.108,338
2670343,IJ-135,SA07050,1091,9,0,4,PC,N148/18,3.8,4634,177,0,20,45.907999999999994,337
2670343,IJ-135,SA07050,695,7,0,2,PC,N148/18,1.9,5329,184,0,22,47.80799999999999,336
2670343,IJ-135,SA07050,299,0,0,2,PC,N148/18,1.9,5628,184,0,24,49.70799999999999,335
2670343,IJ-135,SA07050,1089,11,0,3,PC,N148/18,2.8499999999999996,6717,195,0,27,52.55799999999999,334
2670343,IJ-135,SA07050,1083,7,0,3,PC,N148/18,2.8499999999999996,7800,202,0,30,55.407999999999994,333
2670343,IJ-135,SA07050,558,2,0,2,PC,N148/18,1.9,8358,204,0,32,57.30799999999999,332
2670343,IJ-135,SA07050,734,9,0,3,PC,N148/18,2.8499999999999996,9092,213,0,35,60.157999999999994,331
2670343,IJ-135,SA07050,1114,21,0,4,PC,N148/18,3.8,10206,234,0,39,63.95799999999999,330
2670343,IJ-135,SA07050,591,5,0,2,PC,N148/18,1.9,10797,239,0,41,65.85799999999999,329
2670343,IJ-135,SA07050,206,11,0,2,PC,N148/18,1.9,11003,250,0,43,67.758,328
2672867,IJ-135,SA05502,1100,22,0,3,PC,P250/14,1.851,12103,272,0,46,69.609,327
2672867,IJ-135,SA05502,1076,15,0,3,PC,P250/14,1.851,13179,287,0,49,71.46,326
2672867,IJ-135,SA05502,837,21,0,4,PC,P250/14,8.174,14016,308,0,53,79.63399999999999,325
2673380,IJ-135,SA25694,813,23,0,3,PC,P250/14,10.41,14829,331,0,56,90.04399999999998,324
2673306,IJ-135,SA25673,450,47,0,4,PC,P250/14,16.67,15279,378,0,60,106.71399999999998,323
2673306,IJ-135,SA25673,418,14,0,2,PC,P250/14,8.8,15697,392,0,62,115.51399999999998,322
2673306,IJ-135,SA25673,127,4,0,3,PC,P250/14,13.200000000000001,15824,396,0,65,128.71399999999997,321
2673841,IJ-135,SA25367,779,43,0,3,PC,P250/14,7.3500000000000005,16603,439,0,68,136.06399999999996,320
2673841,IJ-135,SA25367,1001,13,0,3,PC,P250/14,7.3500000000000005,17604,452,0,71,143.41399999999996,319
2673306,IJ-135,SA25673,775,6,0,4,PC,P250/14,11.75,18379,458,0,75,155.16399999999996,318
2673137,IJ-135,SA25674,613,7,0,4,PC,P250/14,20.98,18992,465,0,79,176.14399999999995,317
2672778,IJ-135,SA25368,381,18,0,3,PC,P250/14,16.48,19373,483,0,82,192.62399999999994,316
2672778,IJ-135,SA25368,367,13,0,2,PC,P250/14,8.6,19740,496,0,84,201.22399999999993,315
