Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2698589,IJ-129,12336,1266,24,0,3,PC,N-110/2,2.04,-92
2698066,IJ-129,SA07169,1265,4,0,5,PC,P250/14,5.98,-93
2698066,IJ-129,SA07169,1247,17,0,3,PC,P250/14,4.62,-94
2698066,IJ-129,SA07169,2,0,0,1,PC,P250/14,1.54,-95
2698838,IJ-129,SA07451,1232,23,0,4,PC,P250/14,2.56,-96
2698838,IJ-129,SA07451,324,11,0,2,PC,P250/14,0.68,-98
2698796,IJ-129,SA05198,663,17,0,3,PC,MASSA F420/95,1.58,-99
2698796,IJ-129,SA05198,925,31,0,3,PC,MASSA F420/95,2.7,-100
2698796,IJ-129,SA05198,1114,35,0,5,PC,MASSA F420/95,15.580000000000002,-101
2699711,IJ-129,SA02697,1209,24,0,4,PC,F424/40 MARROM,19.48,-102
2699711,IJ-129,SA02697,701,11,0,4,PC,F424/40 MARROM,12.849,-103
2699735,IJ-129,SA02556,168,27,0,2,PC,MASSA F420/95,2.64,-105
2699735,IJ-129,SA02556,470,31,0,2,PC,MASSA F420/95,2.64,-106
2699844,IJ-129,17880,739,89,0,6,PC,MASSA F420/95,8.39,-107
2699153,IJ-129,SA17439,1206,18,0,4,PC,MASSA F420/201,11.268,-108
2700207,IJ-129,SA07439,1031,39,0,4,PC,MASSA F420/191,19.387999999999998,-109
2699148,IJ-129,17395,708,44,0,3,PC,N144/83,9.01,-110
2699148,IJ-129,17395,289,16,0,2,PC,N144/83,2.7,-112
2699155,IJ-129,SA17375,1068,28,0,4,PC,N144/83,6.588,-113
2699118,IJ-129,SA08339,640,77,0,4,PC,N-142/67,6.087,-114
2699159,IJ-129,18339,1039,40,0,4,PC,N-142/44,5.524,-115
2700506,IJ-129,SA00269,740,37,0,5,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,6.541,-116
2700568,IJ-129,SA02069,474,57,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,16.12,-117
2700568,IJ-129,SA02069,120,0,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,14.82,-119
