Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2698185,IJ-124,SA02690,1475,13,0,3,PC,N-142/67,7.14,1475,13,0,3,7.14,-110
2698677,IJ-124,SA07686,1508,32,0,3,PC,N-142/67,4.26,2983,45,0,6,11.399999999999999,-111
2698720,IJ-124,SA00734,1427,28,0,4,PC,N148/18,3.835,4410,73,0,10,15.235,-112
2698720,IJ-124,SA00734,20,0,0,2,PC,N148/18,1.61,4430,73,0,12,16.845,-113
2698720,IJ-124,SA00734,1601,20,0,3,PC,N148/18,2.415,6031,93,0,15,19.259999999999998,-114
2698720,IJ-124,SA00734,317,6,0,2,PC,N148/18,1.61,6348,99,0,17,20.869999999999997,-116
2699192,IJ-124,SA01963,1303,3,0,4,PC,N148/18,2.31,7651,102,0,21,23.179999999999996,-117
2699192,IJ-124,SA01963,1512,14,0,3,PC,N148/18,1.0499999999999998,9163,116,0,24,24.229999999999997,-118
2699192,IJ-124,SA01963,1591,2,0,3,PC,N148/18,1.0499999999999998,10754,118,0,27,25.279999999999998,-119
2699192,IJ-124,SA01963,1541,6,0,5,PC,N148/18,2.46,12295,124,0,32,27.74,-120
2699614,IJ-124,SA00504,1574,7,0,4,PC,N148/18,4.226,13869,131,0,36,31.965999999999998,-121
2699830,IJ-124,SA00063,401,3,0,1,PC,N148/18,1.053,14270,134,0,37,33.019,-123
2699830,IJ-124,SA00063,1492,7,0,4,PC,N148/18,5.058999999999999,15762,141,0,41,38.077999999999996,-124
2698791,IJ-124,SA07321,1348,53,0,3,PC,N148/18,5.699999999999999,17110,194,0,44,43.77799999999999,-125
2699956,IJ-124,SA00272,1623,25,0,3,PC,N148/18,2.445,18733,219,0,47,46.22299999999999,-126
2699956,IJ-124,SA00272,1493,7,0,4,PC,N148/18,4.71,20226,226,0,51,50.93299999999999,-127
2700226,IJ-124,SA01923,1610,9,0,3,PC,N148/18,4.62,21836,235,0,54,55.55299999999999,-128
2700226,IJ-124,SA01923,374,2,0,2,PC,N148/18,3.08,22210,237,0,56,58.63299999999999,-130
2700226,IJ-124,SA01923,1675,2,0,3,PC,N148/18,4.62,23885,239,0,59,63.252999999999986,-131
2700226,IJ-124,SA01923,1092,5,0,4,PC,N148/18,7.02,24977,244,0,63,70.27299999999998,-132
2700331,IJ-124,SA00618,1631,42,0,3,PC,N148/18,5.91,26608,286,0,66,76.18299999999998,-133
2700331,IJ-124,SA00618,1642,62,0,3,PC,N148/18,5.91,28250,348,0,69,82.09299999999998,-134
2700331,IJ-124,SA00618,1647,35,0,3,PC,N148/18,5.91,29897,383,0,72,88.00299999999997,-135
2700331,IJ-124,SA00618,327,10,0,2,PC,N148/18,3.94,30224,393,0,74,91.94299999999997,-137
2700547,IJ-124,SA00498,1065,14,0,3,PC,N148/18,4.86,31289,407,0,77,96.80299999999997,-138
2700228,IJ-124,SA03392,1598,37,0,4,PC,N148/18,3.435,32887,444,0,81,100.23799999999997,-139
2700688,IJ-124,SA08320,1513,20,0,4,PC,N148/18,5.69,34400,464,0,85,105.92799999999997,-140
2700688,IJ-124,SA08320,1404,29,0,4,PC,N148/18,8.235000000000001,35804,493,0,89,114.16299999999997,-141
2700731,IJ-124,SA02020,1386,27,0,6,PC,N148/18,13.120000000000001,37190,520,0,95,127.28299999999997,-142
2700821,IJ-124,SA08002,147,4,0,1,PC,N148/18,2.19,37337,524,0,96,129.47299999999998,-143
