Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2719008,IJ-151,SA05213,1257,30,0,4,PC,P250/14,2.468,254691,5273,0,903,991.43,-381
2719008,IJ-151,SA05213,1358,20,0,3,PC,P250/14,1.851,256049,5293,0,906,993.281,-382
2719008,IJ-151,SA05213,1415,29,0,3,PC,P250/14,1.851,257464,5322,0,909,995.132,-383
2719008,IJ-151,SA05213,972,40,0,4,PC,P250/14,4.3420000000000005,258436,5362,0,913,999.4739999999999,-384
2719935,IJ-151,SA05679,12,0,0,1,PC,P250/14,1.554,258448,5362,0,914,1001.0279999999999,-385
2719935,IJ-151,SA05679,100,17,0,2,PC,P250/14,3.108,258548,5379,0,916,1004.1359999999999,-386
2719935,IJ-151,SA05679,495,61,0,4,PC,P250/14,9.530999999999999,259043,5440,0,920,1013.6669999999998,-387
2719941,IJ-151,SA02697,1035,49,0,4,PC,F424/40 MARROM,17.269,260078,5489,0,924,1030.9359999999997,-388
2719941,IJ-151,SA02697,468,11,0,2,PC,F424/40 MARROM,13.09,260546,5500,0,926,1044.0259999999996,-389
2720663,IJ-151,SA05537,1114,69,0,3,PC,MASSA F403/32,2.5229999999999997,261660,5569,0,929,1046.5489999999995,-390
2720663,IJ-151,SA05537,1041,37,0,4,PC,MASSA F403/32,4.323,262701,5606,0,933,1050.8719999999996,-391
2720678,IJ-151,SA02853,816,41,0,2,PC,MASSA F420/191,3.6,263517,5647,0,935,1054.4719999999995,-392
2720678,IJ-151,SA02853,281,15,0,2,PC,MASSA F420/191,3.6,263798,5662,0,937,1058.0719999999994,-393
2719777,IJ-151,SA05055,781,69,0,5,PC,MASSA F420/95,6.014,264579,5731,0,942,1064.0859999999993,-394
2720957,IJ-151,SA02629,1047,33,0,4,PC,MASSA F403/32,8.31,265626,5764,0,946,1072.3959999999993,-395
2721032,IJ-151,SA02556,1210,19,0,3,PC,MASSA F420/95,5.11,266836,5783,0,949,1077.5059999999992,-396
2721205,IJ-151,SA07484,858,73,0,5,PC,MASSA F403/32,3.992,267694,5856,0,954,1081.4979999999991,-397
2721189,IJ-151,SA02671,1170,19,0,5,PC,MASSA F420/95,5.786,268864,5875,0,959,1087.2839999999992,-398
2721214,IJ-151,SA05269,845,12,0,2,PC,MASSA F403/32,0.736,269709,5887,0,961,1088.0199999999993,-399
2721214,IJ-151,SA05269,232,0,0,2,PC,MASSA F403/32,0.899,269941,5887,0,963,1088.9189999999992,-400
2721300,IJ-151,SA05167,1321,17,0,3,PC,MASSA F403/32,1.593,271262,5904,0,966,1090.5119999999993,-401
2721299,IJ-151,SA02681,604,25,0,4,PC,MASSA F420/95,1.905,271866,5929,0,970,1092.4169999999992,-402
2721303,IJ-151,SA02481,1145,31,0,4,PC,MASSA F420/95,2.6479999999999997,273011,5960,0,974,1095.0649999999991,-403
2721477,IJ-151,SA05062,1210,3,0,5,PC,MASSA F420/191,4.52,274221,5963,0,979,1099.5849999999991,-404
2720585,IJ-151,SA02794,180,25,0,3,PC,MASSA F403/32,1.53,274401,5988,0,982,1101.114999999999,-405
2720585,IJ-151,SA02794,930,0,0,3,PC,MASSA F403/32,1.53,275331,5988,0,985,1102.644999999999,-406
2720585,IJ-151,SA02794,28,0,0,1,PC,MASSA F403/32,0.51,275359,5988,0,986,1103.154999999999,-407
