Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2698523,IJ-119,SA22836,732,13,0,5,PC,F424/50,5.214,732,13,0,5,5.214,-107
2698509,IJ-119,SA07373,1082,28,0,3,PC,F424/40 MARROM,6.99,1814,41,0,8,12.204,-108
2698509,IJ-119,SA07373,1216,10,0,3,PC,F424/40 MARROM,6.99,3030,51,0,11,19.194000000000003,-109
2698509,IJ-119,SA07373,1189,20,0,3,PC,F424/40 MARROM,6.99,4219,71,0,14,26.184000000000005,-110
2698509,IJ-119,SA07373,1288,17,0,4,PC,F424/40 MARROM,9.32,5507,88,0,18,35.504000000000005,-111
2698509,IJ-119,SA07373,1314,5,0,4,PC,F424/40 MARROM,6.34,6821,93,0,22,41.84400000000001,-112
2698697,IJ-119,SA05883,0,1,0,1,PC,F424/40 MARROM,0.84,6821,94,0,23,42.68400000000001,-113
2698697,IJ-119,SA05883,1191,10,0,3,PC,F424/40 MARROM,2.52,8012,104,0,26,45.204000000000015,-114
2698697,IJ-119,SA05883,1400,2,0,4,PC,F424/40 MARROM,4.85,9412,106,0,30,50.054000000000016,-115
2698697,IJ-119,SA05883,1269,22,0,4,PC,F424/40 MARROM,3.36,10681,128,0,34,53.414000000000016,-116
2699021,IJ-119,SA05883,1425,3,0,3,PC,F424/40 MARROM,2.52,12106,131,0,37,55.93400000000002,-117
2699837,IJ-119,SA05952,1396,8,0,5,PC,F424/40 MARROM,4.032,13502,139,0,42,59.96600000000002,-118
2699837,IJ-119,SA05952,911,14,0,2,PC,F424/40 MARROM,1.568,14413,153,0,44,61.53400000000002,-119
2699837,IJ-119,SA05952,275,0,0,1,PC,F424/40 MARROM,0.784,14688,153,0,45,62.31800000000002,-120
2699969,IJ-119,SA18484,760,25,0,4,PC,MASSA F420/191,12.814,15448,178,0,49,75.13200000000002,-121
2700072,IJ-119,SA13640,690,17,0,5,PC,MASSA F420/191,14.889999999999999,16138,195,0,54,90.02200000000002,-122
2700072,IJ-119,SA13640,1012,18,0,3,PC,MASSA F420/191,5.742,17150,213,0,57,95.76400000000002,-123
2700072,IJ-119,SA13640,1198,14,0,3,PC,MASSA F420/191,5.742,18348,227,0,60,101.50600000000003,-124
2700072,IJ-119,SA13640,1136,8,0,4,PC,MASSA F420/191,6.2780000000000005,19484,235,0,64,107.78400000000003,-125
2700264,IJ-119,SA05353,794,1,0,3,PC,MASSA F420/191,3.343,20278,236,0,67,111.12700000000004,-126
2700193,IJ-119,SA05775,250,21,0,2,PC,MASSA F420/191,1.786,20528,257,0,69,112.91300000000004,-127
2700193,IJ-119,SA05775,1224,20,0,4,PC,MASSA F420/191,3.7359999999999998,21752,277,0,73,116.64900000000004,-128
2700323,IJ-119,SA04247,1374,10,0,3,PC,MASSA F420/191,2.925,23126,287,0,76,119.57400000000004,-129
2700323,IJ-119,SA04247,1416,0,0,3,PC,MASSA F420/191,2.925,24542,287,0,79,122.49900000000004,-130
2700323,IJ-119,SA04247,1404,6,0,3,PC,MASSA F420/191,2.925,25946,293,0,82,125.42400000000004,-131
2700323,IJ-119,SA04247,1362,10,0,4,PC,MASSA F420/191,3.9,27308,303,0,86,129.32400000000004,-132
2700323,IJ-119,SA04247,846,3,0,2,PC,MASSA F420/191,1.95,28154,306,0,88,131.27400000000003,-133
2700323,IJ-119,SA04247,289,5,0,2,PC,MASSA F420/191,1.95,28443,311,0,90,133.22400000000002,-134
2700118,IJ-119,SA05776,1191,37,0,3,PC,MASSA F403/32,6.75,29634,348,0,93,139.97400000000002,-135
2700118,IJ-119,SA05776,1283,14,0,3,PC,MASSA F403/32,6.75,30917,362,0,96,146.72400000000002,-136
2700118,IJ-119,SA05776,1164,16,0,4,PC,MASSA F403/32,10.704,32081,378,0,100,157.42800000000003,-137
2699832,IJ-119,SA08396,813,54,0,3,PC,MASSA F420/96,11.862,32894,432,0,103,169.29000000000002,-138
2699832,IJ-119,SA08396,1140,15,0,4,PC,MASSA F420/96,15.816,34034,447,0,107,185.10600000000002,-139
2699832,IJ-119,SA08396,766,13,0,2,PC,MASSA F420/96,7.908,34800,460,0,109,193.014,-140
2699832,IJ-119,SA08396,265,2,0,2,PC,MASSA F420/96,7.908,35065,462,0,111,200.922,-141
2700832,IJ-119,SA05941,1001,22,0,6,PC,MASSA F403/32,8.765,36066,484,0,117,209.687,-142
2701102,IJ-119,SA02871,1163,35,0,3,PC,MASSA F420/95,5.439,37229,519,0,120,215.126,-143
