Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Qtd. Produzida Acumulada Total,Qtd. Refugada Acumulada Total,Qtd. Retrabalhada Acumulada Total,Fator Un. Acumulado Total,Consumo de massa no item em (Kg/100pçs) Acumulado Total,Manutencao
2698368,IJ-117,SA04247,1132,8,0,3,PC,MASSA F420/191,2.925,1132,8,0,3,2.925,-107
2698368,IJ-117,SA04247,1083,1,0,3,PC,MASSA F420/191,2.925,2215,9,0,6,5.85,-108
2698368,IJ-117,SA04247,1284,1,0,3,PC,MASSA F420/191,2.925,3499,10,0,9,8.774999999999999,-109
2698368,IJ-117,SA04247,1122,5,0,4,PC,MASSA F420/191,3.233,4621,15,0,13,12.008,-110
2698784,IJ-117,SA05439,895,110,0,4,PC,MASSA F403/32,1.232,5516,125,0,17,13.239999999999998,-111
2698851,IJ-117,SA02871,690,39,0,3,PC,MASSA F420/95,2.429,6206,164,0,20,15.668999999999999,-112
2698851,IJ-117,SA02871,33,33,0,2,PC,MASSA F420/95,3.626,6239,197,0,22,19.294999999999998,-113
2699274,IJ-117,SA05955,592,67,0,4,PC,MASSA F420/191,9.433,6831,264,0,26,28.727999999999998,-114
2699274,IJ-117,SA05955,1159,5,0,3,PC,MASSA F420/191,7.62,7990,269,0,29,36.348,-115
2699606,IJ-117,SA05580,1134,18,0,4,PC,F424/40 MARROM,4.775,9124,287,0,33,41.123,-116
2699606,IJ-117,SA05580,1074,24,0,3,PC,F424/40 MARROM,2.235,10198,311,0,36,43.358,-117
2699734,IJ-117,SA05953,998,55,0,5,PC,F424/40 MARROM,9.453,11196,366,0,41,52.81099999999999,-118
2699734,IJ-117,SA05953,651,36,0,2,PC,F424/40 MARROM,4.354,11847,402,0,43,57.16499999999999,-119
2699834,IJ-117,SA02990,239,25,0,2,PC,P250/14,0.96,12086,427,0,45,58.12499999999999,-120
2699834,IJ-117,SA02990,1178,60,0,3,PC,P250/14,1.44,13264,487,0,48,59.56499999999999,-121
2699834,IJ-117,SA02990,923,44,0,5,PC,P250/14,6.726,14187,531,0,53,66.291,-122
2700108,IJ-117,SA07351,439,56,0,3,PC,P250/14,1.458,14626,587,0,56,67.749,-123
2700108,IJ-117,SA07351,171,26,0,1,PC,P250/14,0.486,14797,613,0,57,68.235,-124
2700110,IJ-117,SA02960,866,53,0,5,PC,P250/14,2.727,15663,666,0,62,70.962,-125
2700110,IJ-117,SA02960,713,10,0,2,PC,P250/14,1.17,16376,676,0,64,72.132,-126
2700110,IJ-117,SA02960,166,0,0,3,PC,P250/14,1.64,16542,676,0,67,73.772,-127
2700113,IJ-117,SA07139,1075,44,0,4,PC,P250/14,1.91,17617,720,0,71,75.682,-128
2699647,IJ-117,SA05780,1124,32,0,3,PC,P250/14,1.44,18741,752,0,74,77.122,-129
2700459,IJ-117,SA01943,1060,5,0,5,PC,P250/14,3.6399999999999997,19801,757,0,79,80.762,-130
2699649,IJ-117,SA02961,875,13,0,3,PC,P250/14,4.08,20676,770,0,82,84.842,-131
2699649,IJ-117,SA02961,1125,22,0,4,PC,P250/14,5.44,21801,792,0,86,90.282,-132
2699649,IJ-117,SA02961,855,16,0,2,PC,P250/14,2.72,22656,808,0,88,93.002,-133
2699649,IJ-117,SA02961,302,9,0,2,PC,P250/14,2.72,22958,817,0,90,95.722,-134
2699649,IJ-117,SA02961,1155,27,0,3,PC,P250/14,4.08,24113,844,0,93,99.80199999999999,-135
2699649,IJ-117,SA02961,1071,34,0,4,PC,P250/14,4.614000000000001,25184,878,0,97,104.416,-136
2700645,IJ-117,SA13636,798,91,0,5,PC,P250/14,4.32,25982,969,0,102,108.73599999999999,-137
2700739,IJ-117,SA02930,772,96,0,6,PC,P250/14,2.55,26754,1065,0,108,111.28599999999999,-138
2700739,IJ-117,SA02930,1236,42,0,4,PC,P250/14,1.6,27990,1107,0,112,112.88599999999998,-139
2700739,IJ-117,SA02930,875,7,0,2,PC,P250/14,0.8,28865,1114,0,114,113.68599999999998,-140
2700739,IJ-117,SA02930,276,4,0,2,PC,P250/14,0.8,29141,1118,0,116,114.48599999999998,-141
2700739,IJ-117,SA02930,478,5,0,3,PC,P250/14,1.2000000000000002,29619,1123,0,119,115.68599999999998,-142
2701162,IJ-117,SA02201,1209,20,0,4,PC,P250/14,3.8600000000000003,30828,1143,0,123,119.54599999999998,-143
2701162,IJ-117,SA02201,1053,48,0,3,PC,P250/14,4.59,31881,1191,0,126,124.13599999999998,-144
2701162,IJ-117,SA02201,582,24,0,6,PC,P250/14,7.08,32463,1215,0,132,131.21599999999998,-145
2701486,IJ-117,SA05780,123,7,0,1,PC,P250/14,0.48,32586,1222,0,133,131.69599999999997,-146
2701486,IJ-117,SA05780,5,0,0,1,PC,P250/14,0.48,32591,1222,0,134,132.17599999999996,-151
2701487,IJ-117,SA07351,595,109,0,6,PC,P250/14,3.807,33186,1331,0,140,135.98299999999995,-152
2701909,IJ-117,SA07453,881,46,0,3,PC,P250/14,2.355,34067,1377,0,143,138.33799999999994,-153
2701989,IJ-117,SA08457,811,34,0,2,PC,P250/14,1.4849999999999999,34878,1411,0,145,139.82299999999995,-154
2701989,IJ-117,SA08457,289,5,0,2,PC,P250/14,1.4,35167,1416,0,147,141.22299999999996,-155
2701989,IJ-117,SA08457,1239,41,0,3,PC,P250/14,2.0999999999999996,36406,1457,0,150,143.32299999999995,-156
2701989,IJ-117,SA08457,1066,84,0,3,PC,P250/14,2.0999999999999996,37472,1541,0,153,145.42299999999994,-157
2701989,IJ-117,SA08457,1266,13,0,3,PC,P250/14,2.0999999999999996,38738,1554,0,156,147.52299999999994,-158
2701989,IJ-117,SA08457,1199,33,0,3,PC,P250/14,2.0999999999999996,39937,1587,0,159,149.62299999999993,-159
2701989,IJ-117,SA08457,1264,14,0,4,PC,P250/14,2.8,41201,1601,0,163,152.42299999999994,-160
2701989,IJ-117,SA08457,377,2,0,1,PC,P250/14,0.7,41578,1603,0,164,153.12299999999993,-161
2701989,IJ-117,SA08457,298,8,0,2,PC,P250/14,1.4,41876,1611,0,166,154.52299999999994,-162
2702277,IJ-117,SA02960,1091,35,0,4,PC,P250/14,2.57,42967,1646,0,170,157.09299999999993,-163
2702398,IJ-117,SA05061,897,9,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,2.2199999999999998,43864,1655,0,173,159.31299999999993,-164
2702398,IJ-117,SA05061,1208,40,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,3.1500000000000004,45072,1695,0,176,162.46299999999994,-165
2702398,IJ-117,SA05061,965,55,0,4,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,3.5970000000000004,46037,1750,0,180,166.05999999999995,-166
2702308,IJ-117,SA05997,1170,33,0,4,PC,MASSA S316/2,1.788,47207,1783,0,184,167.84799999999996,-167
2702308,IJ-117,SA05997,751,9,0,2,PC,MASSA S316/2,0.894,47958,1792,0,186,168.74199999999996,-168
2702308,IJ-117,SA05997,277,16,0,2,PC,MASSA S316/2,0.894,48235,1808,0,188,169.63599999999997,-169
2702308,IJ-117,SA05997,1028,103,0,3,PC,MASSA S316/2,1.341,49263,1911,0,191,170.97699999999998,-170
2702308,IJ-117,SA05997,1106,43,0,4,PC,MASSA S316/2,2.726,50369,1954,0,195,173.70299999999997,-171
2702222,IJ-117,SA02392,1137,80,0,3,PC,N-142/67,2.748,51506,2034,0,198,176.45099999999996,-172
2702222,IJ-117,SA02392,1149,60,0,3,PC,N-142/67,2.748,52655,2094,0,201,179.19899999999996,-173
2702222,IJ-117,SA02392,1194,26,0,3,PC,N-142/67,2.748,53849,2120,0,204,181.94699999999995,-174
2702222,IJ-117,SA02392,280,10,0,2,PC,N-142/67,1.832,54129,2130,0,206,183.77899999999994,-176
2702222,IJ-117,SA02392,1240,19,0,4,PC,N-142/67,5.415,55369,2149,0,210,189.19399999999993,-177
2703359,IJ-117,SA05962,973,75,0,3,PC,MASSA F420/191,8.001,56342,2224,0,213,197.19499999999994,-178
2703359,IJ-117,SA05962,1033,53,0,3,PC,MASSA F420/191,8.001,57375,2277,0,216,205.19599999999994,-179
2703359,IJ-117,SA05962,1120,49,0,3,PC,MASSA F420/191,8.001,58495,2326,0,219,213.19699999999995,-180
