Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item em (Kg/100pçs),Manutencao
2698534,IJ-151,SA01917,1471,11,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,7.050000000000001,-79
2698692,IJ-151,SA05933,1293,17,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,5.26,-80
2698534,IJ-151,SA01917,1209,37,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,7.050000000000001,-81
2698601,IJ-151,SA02115,836,26,0,3,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,6.8100000000000005,-82
2698601,IJ-151,SA02115,745,14,0,5,PC,MASSA S315/10 MACARRÃO EXTR  8+/- 1mm,4.91,-83
2698583,IJ-151,SA07021,713,4,0,2,PC,P250/14,1.34,-84
2698583,IJ-151,SA07021,35,3,0,2,PC,P250/14,1.34,-85
2698583,IJ-151,SA07021,982,15,0,4,PC,P250/14,8.770000000000001,-86
2698790,IJ-151,SA07320,1188,38,0,4,PC,P250/14,8.8,-87
2698745,IJ-151,SA08457,1336,32,0,4,PC,P250/14,2.8,-88
2698745,IJ-151,SA08457,1280,18,0,3,PC,P250/14,2.0999999999999996,-89
2698745,IJ-151,SA08457,1209,18,0,4,PC,P250/14,2.8,-90
2698745,IJ-151,SA08457,942,12,0,2,PC,P250/14,1.4,-91
2698745,IJ-151,SA08457,828,13,0,3,PC,P250/14,2.0999999999999996,-93
2698745,IJ-151,SA08457,1312,15,0,3,PC,P250/14,2.0999999999999996,-94
2698745,IJ-151,SA08457,1212,22,0,4,PC,P250/14,1.9,-95
2699646,IJ-151,SA02930,1280,20,0,3,PC,P250/14,1.2000000000000002,-96
2699646,IJ-151,SA02930,1303,15,0,4,PC,P250/14,1.6,-97
2699646,IJ-151,SA02930,813,0,0,2,PC,P250/14,0.8,-98
2699646,IJ-151,SA02930,132,8,0,2,PC,P250/14,0.8,-99
2699646,IJ-151,SA02930,1338,17,0,3,PC,P250/14,1.2000000000000002,-100
2699646,IJ-151,SA02930,1142,19,0,3,PC,P250/14,1.2000000000000002,-101
2699646,IJ-151,SA02930,676,28,0,4,PC,P250/14,3.56,-102
2700261,IJ-151,SA05876,715,39,0,5,PC,F424/40 MARROM,2.55,-103
2700376,IJ-151,SA12797,1326,3,0,5,PC,F424/40 MARROM,4.01,-104
2700376,IJ-151,SA12797,942,2,0,2,PC,F424/40 MARROM,1.75,-105
2700376,IJ-151,SA12797,311,10,0,2,PC,F424/40 MARROM,1.75,-106
2700376,IJ-151,SA12797,1344,8,0,3,PC,F424/40 MARROM,2.625,-107
2700548,IJ-151,SA05974,1200,11,0,4,PC,F424/40 MARROM,3.2270000000000003,-108
2700548,IJ-151,SA05974,1313,20,0,3,PC,F424/40 MARROM,2.3520000000000003,-109
2700548,IJ-151,SA05974,1339,29,0,3,PC,F424/40 MARROM,2.3520000000000003,-110
2700823,IJ-151,SA05973,1283,5,0,6,PC,F424/40 MARROM,4.986,-111
2700833,IJ-151,SA05883,777,1,0,2,PC,F424/40 MARROM,1.68,-112
2700833,IJ-151,SA05883,265,0,0,2,PC,F424/40 MARROM,1.68,-113
2700833,IJ-151,SA05883,1524,0,0,4,PC,F424/40 MARROM,3.36,-114
2700833,IJ-151,SA05883,1404,0,0,3,PC,F424/40 MARROM,2.52,-115
2701445,IJ-151,SA05964,935,41,0,5,PC,F424/40 MARROM,10.841,-116
2701483,IJ-151,SA05970,1071,39,0,3,PC,F424/40 MARROM,2.121,-117
2701739,IJ-151,SA05954,1221,12,0,5,PC,F424/40 MARROM,3.3289999999999997,-118
